region_id,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_estat_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_estat_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_estat_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_over_LT_Real_eSte_agent,R_650_over_LT_Ste_ter_hsg_aut,R_650_over_LT_Psn_not_Sme_hhd,R_650_ovr_LT_hs_coop_com_ch_g,R_650_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_650_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA6068,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6069,0,17,17,0,3,12,49,3,26,0,0,0,0,29,0,48,3,7,0,0,58,3,38,12,7,9,0,69,0,20,9,0,25,0,54,7,39,11,5,13,0,75,106,10,81,3,0,0,200,567,3,218,0,11,7,806,150,0,54,0,3,0,207,31,0,7,0,4,0,42,8,0,10,0,4,0,22,11,13,8,0,3,3,38,886,214,430,22,75,22,1649
POA6070,0,0,5,0,0,3,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,6,8,0,12,0,3,0,23,29,0,22,0,0,0,51,11,0,4,0,0,0,15,9,0,0,0,0,0,9,3,0,0,0,0,0,3,3,0,0,0,0,0,3,66,0,52,0,3,3,124
POA6071,0,0,6,0,0,6,12,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,3,0,3,0,9,3,0,5,0,0,0,8,3,0,6,0,3,0,12,9,0,11,0,0,0,20,25,0,7,0,0,0,32,13,0,3,0,0,0,16,3,0,0,0,0,0,3,3,0,3,0,0,0,6,0,0,0,0,0,3,3,62,0,48,0,6,9,125
POA6072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,17
POA6073,0,0,5,3,3,6,17,0,0,0,10,0,0,10,0,3,7,7,0,0,17,0,0,3,0,3,3,9,3,0,8,0,0,0,11,3,0,16,3,0,0,22,17,0,18,0,0,0,35,16,0,16,0,0,0,32,11,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,9,53,3,82,23,9,9,179
POA6074,0,0,4,0,0,4,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,0,0,0,0,0,7,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,14,0,0,4,32
POA6076,3,4,50,3,4,32,96,0,15,3,0,0,0,18,3,17,27,13,3,3,66,7,0,39,7,4,3,60,8,0,39,4,7,0,58,30,0,53,4,3,0,90,99,0,90,0,4,0,193,142,0,79,0,4,3,228,57,0,24,0,3,0,84,21,0,5,0,0,0,26,13,0,3,0,0,0,16,5,6,13,4,4,0,32,388,42,425,35,36,41,967
POA6077,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,0,6,0,0,4,0,0,0,4,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,20,3,10,0,36
POA6078,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,12,0,0,6,21
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6081,0,0,8,0,0,6,14,0,0,3,0,0,0,3,0,3,3,0,0,0,6,0,0,8,0,0,0,8,0,0,3,0,0,0,3,0,0,4,0,0,0,4,12,0,7,0,0,0,19,34,0,17,0,0,0,51,12,0,3,0,0,0,15,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,7,62,3,59,0,0,10,134
POA6082,0,3,12,0,0,5,20,0,0,0,0,0,0,0,0,0,5,0,3,0,8,0,0,8,0,0,0,8,0,0,5,0,0,0,5,3,0,7,0,0,0,10,13,0,10,0,3,0,26,20,0,16,0,0,0,36,12,0,0,0,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,54,3,63,0,6,5,131
POA6083,0,0,7,0,4,9,20,0,0,0,0,0,0,0,0,0,10,0,0,0,10,4,0,5,0,0,0,9,4,0,12,0,0,0,16,3,0,4,0,0,0,7,3,0,3,0,0,0,6,10,0,5,0,0,0,15,6,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,30,0,53,0,8,9,100
POA6084,0,0,20,0,4,13,37,0,0,3,0,0,0,3,0,3,8,3,4,0,18,0,3,10,3,0,0,16,4,0,12,0,6,0,22,14,3,12,0,3,0,32,33,0,29,0,0,0,62,46,0,25,0,6,3,80,18,0,6,0,0,0,24,7,0,0,0,0,0,7,0,0,3,0,0,0,3,3,0,0,0,8,0,11,125,9,128,6,31,16,315
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6100,5,20,32,0,0,11,68,0,54,6,25,3,3,91,12,17,26,4,0,0,59,44,7,50,0,0,0,101,84,0,49,0,5,0,138,214,0,89,0,9,3,315,442,0,202,0,18,8,670,443,0,222,0,16,3,684,191,0,53,0,5,4,253,106,0,21,0,0,0,127,112,0,22,0,9,0,143,25,9,22,3,8,3,70,1678,107,794,32,73,35,2719
POA6101,6,101,43,4,3,25,182,0,166,3,0,0,0,169,9,81,45,3,3,3,144,39,39,47,9,3,0,137,33,18,53,3,4,0,111,92,14,97,4,6,0,213,353,6,206,3,16,5,589,524,4,194,0,20,0,742,106,0,59,0,10,0,175,34,0,7,0,0,0,41,19,4,10,0,0,0,33,17,28,28,0,0,7,80,1232,461,792,26,65,40,2616
POA6102,7,130,25,8,4,11,185,3,244,5,22,3,4,281,40,163,59,120,23,10,415,36,68,52,19,8,0,183,27,20,37,10,0,0,94,52,12,52,4,11,0,131,212,3,149,3,16,5,388,399,4,179,0,16,0,598,95,3,60,0,0,0,158,25,4,16,0,0,0,45,33,9,31,0,0,0,73,23,45,39,25,4,6,142,952,705,704,211,85,36,2693
POA6103,3,74,15,0,5,11,108,0,148,4,7,4,4,167,9,105,14,3,0,4,135,22,49,34,0,3,0,108,28,14,21,0,4,0,67,113,18,57,0,5,0,193,227,4,98,0,21,4,354,221,0,88,0,8,3,320,118,0,25,0,0,0,143,46,3,0,0,0,0,49,9,4,8,0,0,0,21,7,26,16,0,3,3,55,803,445,380,10,53,29,1720
POA6104,0,96,26,4,3,18,147,3,141,0,0,3,5,152,3,97,32,9,3,0,144,11,62,31,5,3,0,112,14,23,41,0,3,0,81,73,15,59,0,7,3,157,222,5,117,0,5,3,352,369,8,116,0,5,0,498,94,0,33,0,3,0,130,20,0,8,0,5,0,33,13,7,10,0,0,0,30,13,23,14,4,6,4,64,835,477,487,22,46,33,1900
POA6105,3,28,26,3,5,26,91,0,55,3,3,0,0,61,10,73,20,5,3,0,111,13,43,37,3,3,0,99,12,24,41,3,3,0,83,63,13,59,0,4,0,139,295,5,194,3,23,5,525,293,6,147,0,25,3,474,78,3,32,0,3,0,116,7,0,8,3,0,0,18,4,0,5,0,0,0,9,9,13,13,0,5,7,47,787,263,585,23,74,41,1773
POA6106,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
POA6107,15,64,66,11,6,47,209,3,117,10,7,3,3,143,12,107,85,10,6,5,225,31,58,94,12,16,3,214,26,36,94,0,8,0,164,111,17,179,7,19,3,336,669,13,378,3,58,3,1124,915,12,342,0,39,7,1315,133,3,70,0,11,3,220,19,0,15,0,0,0,34,24,0,22,0,4,0,50,39,38,71,0,13,15,176,1997,465,1426,50,183,89,4210
POA6108,3,22,30,5,0,11,71,0,39,3,0,0,0,42,0,50,22,0,3,0,75,3,30,40,3,5,0,81,17,16,44,0,3,0,80,30,15,81,4,3,0,133,236,4,199,0,24,7,470,327,3,168,0,11,3,512,35,3,7,0,0,0,45,0,0,6,0,0,0,6,3,0,5,0,3,0,11,19,15,19,0,3,4,60,673,197,624,12,55,25,1586
POA6109,0,8,16,0,4,15,43,0,29,3,0,4,0,36,3,41,14,0,3,3,64,3,23,26,5,31,0,88,8,12,33,0,4,3,60,45,8,59,0,3,0,115,176,3,145,0,19,3,346,74,0,41,0,8,0,123,0,0,5,0,0,0,5,0,0,4,0,0,0,4,3,0,0,0,3,0,6,4,8,13,0,4,3,32,316,132,359,5,83,27,922
POA6110,3,56,40,5,8,26,138,0,90,5,8,0,0,103,3,124,51,54,19,3,254,18,53,63,22,3,0,159,27,26,92,0,12,3,160,103,27,156,3,11,0,300,584,6,329,3,26,10,958,401,3,196,0,11,6,617,105,0,30,0,3,3,141,13,4,3,0,0,0,20,15,4,3,0,3,0,25,13,36,36,6,8,5,104,1285,429,1004,101,104,56,2979
POA6111,0,27,39,0,4,28,98,0,38,5,21,0,0,64,4,60,29,7,16,0,116,12,31,51,3,25,4,126,14,17,50,0,4,0,85,123,11,96,0,9,0,239,413,9,197,0,20,0,639,104,0,72,3,8,0,187,28,0,14,0,4,0,46,10,0,5,0,0,0,15,3,3,5,0,0,0,11,13,9,13,0,4,8,47,724,205,576,34,94,40,1673
POA6112,3,72,51,17,11,30,184,0,130,5,4,3,3,145,13,121,46,16,11,0,207,26,76,80,7,3,3,195,42,28,94,3,7,3,177,248,24,182,4,10,3,471,815,8,355,15,39,5,1237,317,4,133,3,17,3,477,131,0,41,0,7,0,179,10,0,11,0,0,0,21,8,0,6,0,0,3,17,27,39,42,3,9,8,128,1640,502,1046,72,117,61,3438
POA6121,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,3,0,3,0,6,3,0,3,0,0,0,6,3,0,9,0,0,3,15,3,0,8,0,3,0,14,0,0,7,0,0,0,7,3,0,3,0,0,0,6,3,0,4,0,0,0,7,3,0,4,0,0,0,7,0,0,0,0,0,0,0,3,0,5,0,0,0,8,21,0,46,0,11,6,84
POA6122,3,0,13,3,3,14,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,3,0,20,0,0,10,0,0,0,10,10,0,22,0,0,0,32,27,0,51,0,4,3,85,170,0,42,0,0,0,212,13,0,10,0,0,0,23,3,0,6,0,0,0,9,3,0,0,0,0,0,3,3,0,12,0,4,0,19,239,0,176,3,14,17,449
POA6123,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,3,0,7,0,0,6,0,0,0,6,0,0,7,0,0,0,7,0,0,7,0,0,3,10,8,0,10,0,0,0,18,7,0,8,0,0,0,15,4,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,19,0,54,0,3,3,79
POA6124,0,0,0,0,0,4,4,0,4,0,0,0,0,4,0,5,5,0,0,0,10,0,5,4,0,0,0,9,3,0,0,0,0,0,3,4,0,7,0,0,0,11,0,0,5,3,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,21,3,0,4,52
POA6125,0,0,11,0,12,11,34,0,3,3,0,3,0,9,0,0,9,0,3,0,12,0,0,7,0,0,0,7,0,0,3,0,6,0,9,6,0,9,0,0,0,15,5,0,3,0,3,0,11,9,0,8,0,0,0,17,5,0,8,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,5,0,3,3,11,25,3,69,0,33,14,144
POA6126,0,0,0,0,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,5,7,24
POA6147,0,24,36,3,0,6,69,0,48,3,0,0,3,54,3,38,16,0,3,3,63,10,39,41,0,0,3,93,10,6,53,3,3,0,75,30,12,64,0,4,3,113,269,0,165,0,14,0,448,204,0,97,0,14,3,318,7,3,8,0,4,0,22,0,0,4,0,0,0,4,5,0,6,0,0,0,11,3,9,18,4,0,7,41,541,179,511,10,42,28,1311
POA6148,7,19,39,6,0,21,92,0,28,5,3,0,0,36,5,17,24,4,6,0,56,3,10,37,3,0,0,53,3,3,28,3,0,0,37,39,0,63,0,3,3,108,240,0,148,0,11,4,403,329,3,150,3,4,0,489,83,0,34,0,3,0,120,31,0,16,0,0,0,47,34,0,15,0,0,0,49,10,4,20,3,0,7,44,784,84,579,25,27,35,1534
POA6149,3,3,38,6,3,10,63,0,11,5,6,4,3,29,3,0,12,8,5,0,28,0,0,17,6,0,0,23,4,0,19,0,0,0,23,9,0,26,0,0,0,35,45,0,72,0,4,3,124,258,0,103,0,3,0,364,122,3,49,0,3,3,180,30,0,11,0,0,0,41,4,0,5,0,0,0,9,3,0,13,6,3,0,25,481,17,370,32,25,19,944
POA6150,0,7,31,3,0,16,57,3,7,0,3,3,0,16,0,7,16,3,3,0,29,4,0,27,13,20,0,64,0,0,12,3,4,0,19,5,0,10,0,3,3,21,25,0,31,3,0,0,59,102,0,64,0,0,0,166,125,0,41,0,5,0,171,46,0,17,3,0,0,66,21,6,28,6,10,0,71,5,4,12,3,3,4,31,336,31,289,40,51,23,770
POA6151,8,38,41,10,9,26,132,0,56,7,8,3,0,74,4,36,24,11,0,3,78,43,18,36,0,5,3,105,48,7,36,0,0,0,91,115,0,62,0,0,0,177,445,13,156,3,8,0,625,524,0,174,0,5,0,703,236,0,91,0,4,3,334,134,0,31,0,4,0,169,198,0,45,0,8,0,251,22,10,18,3,6,8,67,1777,178,721,35,52,43,2806
POA6152,5,96,108,9,3,43,264,3,137,12,11,3,0,166,10,159,69,20,7,3,268,23,65,80,6,3,3,180,30,13,69,0,3,3,118,87,18,104,6,3,0,218,506,25,265,3,16,0,815,605,11,254,0,14,3,887,242,3,94,0,6,5,350,93,0,28,0,0,0,121,127,3,28,0,0,0,158,16,31,40,7,9,4,107,1747,561,1151,62,67,64,3652
POA6153,3,16,59,5,3,40,126,0,31,3,0,0,0,34,7,33,19,6,3,4,72,17,16,28,5,0,0,66,12,4,33,0,0,0,49,46,8,49,0,3,0,106,181,3,121,3,3,3,314,358,4,171,0,10,0,543,178,0,75,0,3,0,256,99,0,24,0,4,0,127,210,0,45,0,3,0,258,18,9,19,0,3,3,52,1129,124,646,19,35,50,2003
POA6154,0,4,27,0,0,15,46,0,6,0,0,3,0,9,0,5,14,3,0,0,22,3,0,15,3,0,0,21,0,0,15,0,0,0,15,18,0,17,0,0,0,35,85,0,60,0,0,0,145,144,0,70,0,7,0,221,61,0,21,0,0,0,82,30,0,9,0,0,4,43,31,0,5,0,0,0,36,3,0,16,3,3,5,30,375,15,269,9,13,24,705
POA6155,5,24,66,3,6,35,139,0,26,4,0,0,0,30,4,10,35,3,0,0,52,8,7,46,0,0,0,61,13,0,26,0,0,0,39,11,4,50,0,0,0,65,97,0,134,0,5,0,236,766,0,316,3,14,6,1105,403,0,134,0,7,0,544,43,0,13,0,0,0,56,12,4,9,0,7,0,32,10,9,21,3,4,6,53,1372,84,854,12,43,47,2412
POA6156,3,71,27,5,0,13,119,0,123,3,0,3,4,133,0,107,15,9,0,0,131,4,47,21,5,3,3,83,22,10,28,0,8,3,71,34,14,31,4,8,0,91,158,10,112,0,10,0,290,209,0,134,0,11,3,357,107,0,28,0,5,0,140,28,0,21,0,0,0,49,48,5,29,0,3,0,85,11,26,10,0,3,0,50,624,413,459,23,54,26,1599
POA6157,3,41,36,3,3,21,107,0,63,4,7,0,0,74,5,59,23,3,0,0,90,6,22,38,6,3,0,75,31,0,24,0,8,3,66,60,3,65,0,0,0,128,227,5,135,0,5,0,372,303,0,132,0,0,0,435,73,0,36,0,3,0,112,24,0,10,0,0,0,34,36,3,15,0,0,4,58,9,14,9,0,0,3,35,777,210,527,19,22,31,1586
POA6158,0,7,12,0,4,11,34,0,22,3,3,0,0,28,0,7,5,7,0,0,19,9,6,8,0,0,0,23,7,0,8,0,4,0,19,22,7,21,0,6,0,56,52,3,40,0,0,0,95,106,0,51,0,6,0,163,53,0,28,0,0,0,81,24,0,8,0,0,0,32,48,0,13,0,0,3,64,9,3,5,0,0,0,17,330,55,202,10,20,14,631
POA6159,0,31,4,0,0,5,40,0,47,0,0,0,0,47,3,21,3,0,3,0,30,5,5,3,0,0,0,13,0,0,3,0,0,0,3,7,7,13,0,0,0,27,16,0,15,0,0,0,31,36,0,25,0,0,0,61,61,0,22,0,0,0,83,23,0,10,0,0,0,33,42,0,14,0,0,0,56,3,9,0,0,0,0,12,196,120,112,0,3,5,436
POA6160,3,78,21,0,0,13,115,0,123,3,0,0,0,126,5,65,8,6,0,0,84,13,30,22,5,0,0,70,19,4,26,0,6,0,55,58,12,42,5,3,0,120,183,4,67,3,0,0,257,173,0,99,0,4,0,276,132,0,55,0,3,3,193,77,0,19,0,0,0,96,52,0,17,0,0,0,69,8,24,17,0,3,0,52,723,340,396,19,19,16,1513
POA6161,0,0,0,0,18,3,21,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,8,4,0,0,0,29,3,36
POA6162,0,73,28,0,3,13,117,0,138,0,0,0,0,138,6,69,14,0,3,0,92,15,34,27,0,10,0,86,10,17,31,3,5,0,66,38,10,52,3,11,0,114,96,3,95,0,12,0,206,154,3,127,3,3,4,294,80,0,61,0,0,0,141,33,3,16,0,0,0,52,33,4,10,0,0,0,47,5,31,12,3,14,0,65,470,385,473,12,61,17,1418
POA6163,3,175,78,6,7,36,305,0,291,6,23,5,0,325,16,220,81,53,12,5,387,58,117,109,21,13,0,318,36,36,137,8,13,3,233,165,52,202,7,29,3,458,632,21,445,4,36,4,1142,727,5,345,3,22,12,1114,156,0,62,0,3,4,225,31,0,14,0,0,0,45,55,4,33,4,6,0,102,48,74,61,7,9,16,215,1927,995,1573,136,155,83,4869
POA6164,3,51,49,3,3,21,130,0,103,3,0,3,0,109,3,113,21,6,7,0,150,3,78,38,5,10,3,137,9,18,50,0,9,0,86,27,29,68,0,15,3,142,229,18,187,0,14,5,453,1051,0,391,0,27,12,1481,326,0,99,0,6,3,434,30,0,12,0,0,0,42,18,0,12,0,0,0,30,21,34,28,4,4,12,103,1720,444,958,18,98,59,3297
POA6165,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,3,0,0,3,14
POA6166,0,3,17,0,3,12,35,0,5,0,0,0,0,5,0,4,10,0,4,0,18,3,3,13,0,14,0,33,3,0,13,0,0,0,16,8,0,14,0,0,0,22,42,0,24,0,3,3,72,108,0,46,0,5,0,159,41,0,11,0,0,3,55,14,0,5,0,0,0,19,12,0,0,0,0,0,12,3,3,3,0,6,0,15,234,18,156,0,35,18,461
POA6167,4,52,26,0,3,17,102,3,116,3,3,0,0,125,3,150,36,13,3,0,205,17,67,61,4,3,4,156,84,18,82,4,7,3,198,347,13,156,0,17,0,533,341,3,159,0,16,3,522,228,0,68,0,7,4,307,17,0,8,0,0,0,25,5,0,3,0,0,0,8,7,4,5,0,0,0,16,12,26,24,4,7,6,79,1068,449,631,28,63,37,2276
POA6168,3,54,54,7,9,26,153,0,115,7,15,0,0,137,16,96,65,6,24,3,210,109,36,135,4,18,6,308,113,27,132,0,53,3,328,344,12,234,0,38,5,633,569,3,230,0,18,4,824,267,3,84,0,7,0,361,43,0,16,0,0,0,59,7,4,3,0,0,0,14,12,0,10,0,6,0,28,19,25,17,9,10,5,85,1502,375,987,41,183,52,3140
POA6169,3,50,37,3,3,36,132,3,111,0,0,3,0,117,15,112,53,3,4,0,187,72,54,119,5,21,0,271,94,13,118,0,44,0,269,326,27,237,4,29,3,626,979,5,353,0,32,8,1377,356,0,116,0,7,0,479,30,0,7,0,0,0,37,10,0,0,0,0,0,10,7,0,10,0,4,0,21,26,28,42,3,8,6,113,1921,400,1092,18,155,53,3639
POA6170,0,3,9,3,0,6,21,0,10,0,0,0,0,10,0,24,3,0,0,0,27,3,31,10,0,0,0,44,3,9,13,3,0,0,28,30,4,20,0,0,0,54,126,0,47,0,5,0,178,106,0,29,0,0,0,135,6,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,6,13,277,85,134,6,5,12,519
POA6171,3,4,20,0,6,10,43,0,3,3,0,3,0,9,0,0,8,0,6,0,14,0,0,6,0,12,0,18,0,0,11,0,25,0,36,3,4,18,0,11,0,36,77,0,67,3,4,0,151,481,0,118,0,4,4,607,53,0,15,0,3,0,71,6,0,3,0,0,0,9,9,0,4,0,0,0,13,3,0,4,0,10,0,17,635,11,277,3,84,14,1024
POA6172,3,9,5,0,0,5,22,0,21,0,4,0,0,25,3,26,7,0,3,0,39,5,10,16,0,6,0,37,4,9,12,0,24,0,49,21,5,43,0,10,0,79,349,3,118,0,15,0,485,306,0,63,5,5,0,379,11,0,10,0,0,0,21,0,0,0,0,0,0,0,5,0,4,0,0,0,9,8,3,10,0,4,5,30,715,86,288,9,67,10,1175
POA6173,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,6,0,3,0,9,0,0,3,0,3,0,6,0,5,4,0,18,0,27,0,0,11,0,12,0,23,119,0,54,0,10,0,183,313,0,64,0,8,0,385,70,0,12,0,0,0,82,13,0,0,0,0,0,13,11,0,0,0,0,0,11,5,0,8,0,3,4,20,531,5,165,0,60,4,765
POA6174,0,0,0,0,0,5,5,0,0,3,0,0,0,3,3,0,4,0,0,0,7,3,0,11,0,0,0,14,6,0,9,0,0,0,15,34,0,15,0,0,0,49,42,0,26,0,0,0,68,20,0,8,0,0,0,28,4,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,76,0,0,5,196
POA6175,0,0,5,0,0,3,8,0,0,0,0,0,0,0,3,0,3,0,0,0,6,3,0,3,0,0,0,6,3,0,6,0,0,0,9,17,0,14,0,0,0,31,53,0,15,0,4,0,72,60,0,16,0,0,0,76,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,146,0,65,0,4,3,218
POA6176,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,11,5,0,3,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,14,0,0,0,30
