region_id,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
POA6032,0,3,0,3,0,13,0,13,0,10,0,10,0,11,0,11,0,6,0,6,0,20,0,20,0,20,0,20,3,9,4,16,0,10,0,10,0,3,0,3,0,0,0,0,3,105,4,112,0,3,0,3,0,11,0,11,0,10,0,10,0,13,0,13,0,12,0,12,0,10,0,10,0,16,3,19,0,9,0,9,3,6,0,9,3,3,0,6,0,0,0,0,6,93,3,102,0,6,0,6,0,24,0,24,0,20,0,20,0,24,0,24,0,18,0,18,0,30,0,30,0,36,3,39,3,18,4,25,3,16,0,19,3,6,0,9,0,0,0,0,9,198,7,214
POA6033,0,29,0,29,0,59,7,66,0,40,3,43,0,31,3,34,7,46,5,58,0,53,4,57,0,39,6,45,0,39,4,43,0,21,0,21,0,4,0,4,0,3,0,3,7,364,32,403,0,21,5,26,3,41,5,49,3,21,4,28,0,25,3,28,3,41,3,47,0,56,9,65,0,40,0,40,0,24,3,27,0,17,4,21,0,7,0,7,0,0,0,0,9,293,36,338,0,50,5,55,3,100,12,115,3,61,7,71,0,56,6,62,10,87,8,105,0,109,13,122,0,79,6,85,0,63,7,70,0,38,4,42,0,11,0,11,0,3,0,3,16,657,68,741
POA6035,4,146,12,162,8,324,13,345,4,119,15,138,3,71,7,81,0,209,29,238,3,309,26,338,4,276,24,304,13,157,12,182,15,162,16,193,13,58,18,89,14,7,12,33,81,1838,184,2103,0,124,12,136,5,281,22,308,6,119,7,132,3,100,10,113,4,220,14,238,6,327,18,351,10,272,15,297,6,217,7,230,12,145,9,166,26,58,11,95,20,8,48,76,98,1871,173,2142,4,270,24,298,13,605,35,653,10,238,22,270,6,171,17,194,4,429,43,476,9,636,44,689,14,548,39,601,19,374,19,412,27,307,25,359,39,116,29,184,34,15,60,109,179,3709,357,4245
POA6036,7,560,35,602,33,1002,44,1079,7,388,6,401,4,319,12,335,6,805,54,865,6,963,51,1020,11,518,29,558,16,214,11,241,13,120,5,138,6,44,5,55,6,3,0,9,115,4936,252,5303,8,489,28,525,9,1054,57,1120,6,362,18,386,0,332,11,343,6,932,58,996,12,1060,39,1111,8,492,16,516,11,275,12,298,10,157,8,175,6,42,6,54,5,3,0,8,81,5198,253,5532,15,1049,63,1127,42,2056,101,2199,13,750,24,787,4,651,23,678,12,1737,112,1861,18,2023,90,2131,19,1010,45,1074,27,489,23,539,23,277,13,313,12,86,11,109,11,6,0,17,196,10134,505,10835
POA6037,0,73,6,79,8,142,13,163,0,64,8,72,0,47,3,50,5,89,3,97,6,135,17,158,3,142,8,153,13,128,11,152,8,112,10,130,9,42,4,55,4,4,8,16,56,978,91,1125,0,67,8,75,4,145,10,159,0,76,7,83,4,54,3,61,0,112,8,120,3,143,12,158,4,130,6,140,8,139,8,155,8,99,0,107,6,42,3,51,8,4,0,12,45,1011,65,1121,0,140,14,154,12,287,23,322,0,140,15,155,4,101,6,111,5,201,11,217,9,278,29,316,7,272,14,293,21,267,19,307,16,211,10,237,15,84,7,106,12,8,8,28,101,1989,156,2246
POA6041,0,26,7,33,0,100,11,111,0,35,5,40,3,10,4,17,4,34,4,42,0,89,7,96,8,73,3,84,12,114,10,136,7,95,4,106,7,29,6,42,0,0,0,0,41,605,61,707,0,31,3,34,0,85,6,91,0,32,0,32,0,14,0,14,3,42,4,49,0,76,10,86,0,83,3,86,5,134,8,147,4,73,5,82,6,18,3,27,8,3,0,11,26,591,42,659,0,57,10,67,0,185,17,202,0,67,5,72,3,24,4,31,7,76,8,91,0,165,17,182,8,156,6,170,17,248,18,283,11,168,9,188,13,47,9,69,8,3,0,11,67,1196,103,1366
POA6042,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,4,0,4,0,17,0,17,3,6,0,9,0,4,0,4,0,0,0,0,6,34,3,43,0,3,0,3,3,3,0,6,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,0,3,0,3,0,12,0,12,0,3,0,3,0,3,0,3,0,0,0,0,3,37,0,40,0,3,0,3,6,3,0,9,0,3,0,3,0,0,3,3,0,6,0,6,0,4,0,4,0,7,0,7,0,29,0,29,3,9,0,12,0,7,0,7,0,0,0,0,9,71,3,83
POA6043,0,3,0,3,0,9,0,9,0,4,0,4,0,0,0,0,0,3,0,3,0,15,3,18,0,5,3,8,3,19,0,22,0,20,0,20,3,9,0,12,3,0,0,3,9,87,6,102,0,6,3,9,0,12,3,15,0,0,0,0,0,3,0,3,0,8,3,11,0,14,3,17,0,6,3,9,3,13,0,16,0,20,0,20,0,4,0,4,0,0,0,0,3,86,15,104,0,9,3,12,0,21,3,24,0,4,0,4,0,3,0,3,0,11,3,14,0,29,6,35,0,11,6,17,6,32,0,38,0,40,0,40,3,13,0,16,3,0,0,3,12,173,21,206
POA6044,0,31,8,39,3,79,19,101,0,20,6,26,0,32,7,39,0,62,17,79,0,87,24,111,0,95,20,115,4,110,27,141,7,86,16,109,3,34,10,47,0,4,3,7,17,640,157,814,3,28,9,40,0,49,13,62,0,19,5,24,0,18,3,21,0,71,13,84,0,79,20,99,3,77,12,92,9,94,18,121,0,68,9,77,3,24,3,30,6,4,3,13,24,531,108,663,3,59,17,79,3,128,32,163,0,39,11,50,0,50,10,60,0,133,30,163,0,166,44,210,3,172,32,207,13,204,45,262,7,154,25,186,6,58,13,77,6,8,6,20,41,1171,265,1477
POA6050,0,327,26,353,15,609,19,643,12,437,23,472,10,567,50,627,14,1175,105,1294,13,924,68,1005,12,977,45,1034,22,745,46,813,24,377,20,421,68,233,23,324,90,90,20,200,280,6461,445,7186,0,283,18,301,8,731,36,775,0,565,23,588,5,630,49,684,14,1157,78,1249,20,906,47,973,13,964,49,1026,20,755,30,805,34,397,23,454,125,317,37,479,187,147,62,396,426,6852,452,7730,0,610,44,654,23,1340,55,1418,12,1002,46,1060,15,1197,99,1311,28,2332,183,2543,33,1830,115,1978,25,1941,94,2060,42,1500,76,1618,58,774,43,875,193,550,60,803,277,237,82,596,706,13313,897,14916
POA6051,5,337,43,385,3,355,34,392,3,154,22,179,4,456,69,529,5,1621,232,1858,22,996,110,1128,21,684,80,785,26,575,47,648,34,283,36,353,41,105,15,161,31,36,3,70,195,5602,691,6488,3,336,35,374,3,322,21,346,0,175,14,189,4,528,34,566,8,1436,129,1573,11,844,63,918,30,553,43,626,28,532,41,601,34,262,24,320,53,136,15,204,75,49,24,148,249,5173,443,5865,8,673,78,759,6,677,55,738,3,329,36,368,8,984,103,1095,13,3057,361,3431,33,1840,173,2046,51,1237,123,1411,54,1107,88,1249,68,545,60,673,94,241,30,365,106,85,27,218,444,10775,1134,12353
POA6052,0,329,29,358,12,548,35,595,10,244,13,267,5,346,21,372,5,725,62,792,10,769,46,825,15,695,37,747,19,526,27,572,27,242,17,286,38,150,14,202,24,36,5,65,165,4610,306,5081,0,294,6,300,8,552,21,581,0,279,18,297,0,351,17,368,5,794,37,836,6,840,40,886,18,706,33,757,22,533,24,579,33,297,15,345,69,191,19,279,63,60,12,135,224,4897,242,5363,0,623,35,658,20,1100,56,1176,10,523,31,564,5,697,38,740,10,1519,99,1628,16,1609,86,1711,33,1401,70,1504,41,1059,51,1151,60,539,32,631,107,341,33,481,87,96,17,200,389,9507,548,10444
POA6053,3,412,30,445,20,615,44,679,4,306,20,330,8,407,33,448,12,1025,106,1143,20,1020,86,1126,15,898,67,980,27,631,35,693,45,353,19,417,53,183,24,260,64,62,12,138,271,5912,476,6659,7,416,22,445,7,647,33,687,3,324,11,338,0,377,22,399,7,1042,64,1113,13,1036,45,1094,26,850,35,911,26,675,43,744,55,393,20,468,103,255,26,384,167,98,19,284,414,6113,340,6867,10,828,52,890,27,1262,77,1366,7,630,31,668,8,784,55,847,19,2067,170,2256,33,2056,131,2220,41,1748,102,1891,53,1306,78,1437,100,746,39,885,156,438,50,644,231,160,31,422,685,12025,816,13526
POA6054,10,685,43,738,39,1106,62,1207,10,612,39,661,18,654,46,718,30,1291,80,1401,29,1403,73,1505,50,1206,76,1332,76,1040,56,1172,55,558,40,653,62,319,20,401,49,57,3,109,428,8931,538,9897,0,575,50,625,13,1025,77,1115,10,546,28,584,8,571,23,602,8,1312,68,1388,25,1390,66,1481,64,1320,60,1444,57,1065,44,1166,66,623,37,726,110,392,28,530,109,86,13,208,470,8905,494,9869,10,1260,93,1363,52,2131,139,2322,20,1158,67,1245,26,1225,69,1320,38,2603,148,2789,54,2793,139,2986,114,2526,136,2776,133,2105,100,2338,121,1181,77,1379,172,711,48,931,158,143,16,317,898,17836,1032,19766
POA6055,7,412,42,461,18,786,47,851,5,392,24,421,3,321,23,347,12,670,47,729,25,833,50,908,41,778,60,879,50,642,41,733,48,361,30,439,30,161,15,206,29,21,3,53,268,5377,382,6027,5,358,24,387,9,717,45,771,6,301,26,333,5,309,46,360,10,681,123,814,16,887,111,1014,24,772,61,857,44,651,40,735,51,348,32,431,61,144,15,220,69,27,9,105,300,5195,532,6027,12,770,66,848,27,1503,92,1622,11,693,50,754,8,630,69,707,22,1351,170,1543,41,1720,161,1922,65,1550,121,1736,94,1293,81,1468,99,709,62,870,91,305,30,426,98,48,12,158,568,10572,914,12054
POA6056,16,1072,107,1195,89,2213,191,2493,31,1230,109,1370,36,1232,103,1371,52,2167,206,2425,54,2244,218,2516,76,2335,183,2594,103,1961,155,2219,115,1116,99,1330,120,532,62,714,103,87,31,221,795,16189,1464,18448,9,1013,103,1125,43,1999,143,2185,22,1193,103,1318,20,1207,92,1319,36,2139,159,2334,45,2393,180,2618,66,2405,149,2620,117,2074,137,2328,115,1237,101,1453,208,587,93,888,213,142,81,436,894,16389,1341,18624,25,2085,210,2320,132,4212,334,4678,53,2423,212,2688,56,2439,195,2690,88,4306,365,4759,99,4637,398,5134,142,4740,332,5214,220,4035,292,4547,230,2353,200,2783,328,1119,155,1602,316,229,112,657,1689,32578,2805,37072
POA6057,4,500,46,550,28,1049,82,1159,10,590,35,635,10,537,30,577,16,1083,80,1179,18,1090,105,1213,32,1003,67,1102,35,762,45,842,33,487,18,538,31,233,10,274,16,31,5,52,233,7365,523,8121,9,523,40,572,9,987,69,1065,11,529,36,576,0,522,32,554,9,1028,66,1103,11,1116,64,1191,20,1037,54,1111,47,840,31,918,36,508,20,564,54,207,18,279,27,34,0,61,233,7331,430,7994,13,1023,86,1122,37,2036,151,2224,21,1119,71,1211,10,1059,62,1131,25,2111,146,2282,29,2206,169,2404,52,2040,121,2213,82,1602,76,1760,69,995,38,1102,85,440,28,553,43,65,5,113,466,14696,953,16115
POA6058,9,407,48,464,20,659,52,731,3,386,14,403,5,378,24,407,12,752,61,825,16,737,66,819,18,718,40,776,38,689,47,774,17,333,24,374,44,158,11,213,19,29,3,51,201,5246,390,5837,3,339,19,361,11,650,66,727,9,355,22,386,0,395,27,422,15,742,42,799,13,713,40,766,26,787,33,846,20,727,38,785,38,397,24,459,65,211,21,297,68,50,8,126,268,5366,340,5974,12,746,67,825,31,1309,118,1458,12,741,36,789,5,773,51,829,27,1494,103,1624,29,1450,106,1585,44,1505,73,1622,58,1416,85,1559,55,730,48,833,109,369,32,510,87,79,11,177,469,10612,730,11811
POA6059,9,553,33,595,35,1208,64,1307,15,642,37,694,14,709,59,782,18,1308,67,1393,22,1445,78,1545,27,1418,79,1524,48,1135,53,1236,54,829,39,922,82,541,28,651,71,119,10,200,395,9907,547,10849,7,538,36,581,18,1213,45,1276,13,651,30,694,5,683,40,728,8,1319,60,1387,21,1555,57,1633,30,1503,68,1601,46,1244,48,1338,70,1084,46,1200,145,639,47,831,177,195,30,402,540,10624,507,11671,16,1091,69,1176,53,2421,109,2583,28,1293,67,1388,19,1392,99,1510,26,2627,127,2780,43,3000,135,3178,57,2921,147,3125,94,2379,101,2574,124,1913,85,2122,227,1180,75,1482,248,314,40,602,935,20531,1054,22520
POA6060,8,566,47,621,24,679,66,769,3,396,47,446,7,731,95,833,23,2301,227,2551,31,1573,130,1734,36,1146,90,1272,56,852,74,982,53,551,40,644,94,387,33,514,93,116,15,224,428,9298,864,10590,4,585,60,649,8,728,52,788,4,359,23,386,4,828,64,896,12,2357,150,2519,18,1506,112,1636,45,1188,54,1287,50,1043,55,1148,74,699,34,807,167,579,44,790,207,151,33,391,593,10023,681,11297,12,1151,107,1270,32,1407,118,1557,7,755,70,832,11,1559,159,1729,35,4658,377,5070,49,3079,242,3370,81,2334,144,2559,106,1895,129,2130,127,1250,74,1451,261,966,77,1304,300,267,48,615,1021,19321,1545,21887
POA6061,7,1201,175,1383,60,1926,228,2214,27,960,90,1077,18,1268,139,1425,51,3038,315,3404,73,2053,227,2353,94,1638,166,1898,100,1204,109,1413,114,747,92,953,95,438,46,579,44,70,7,121,683,14543,1594,16820,10,1177,202,1389,34,1701,242,1977,10,898,86,994,14,1375,117,1506,37,3060,273,3370,51,1932,169,2152,118,1634,124,1876,129,1374,124,1627,110,918,81,1109,151,490,65,706,78,76,14,168,742,14635,1497,16874,17,2378,377,2772,94,3627,470,4191,37,1858,176,2071,32,2643,256,2931,88,6098,588,6774,124,3985,396,4505,212,3272,290,3774,229,2578,233,3040,224,1665,173,2062,246,928,111,1285,122,146,21,289,1425,29178,3091,33694
POA6062,15,861,84,960,44,1621,81,1746,12,980,42,1034,16,1107,58,1181,21,2017,106,2144,31,1972,96,2099,42,1893,95,2030,82,1766,85,1933,89,1229,51,1369,142,601,36,779,96,111,8,215,590,14158,742,15490,9,845,54,908,23,1532,73,1628,13,886,39,938,12,1021,37,1070,22,1989,76,2087,42,1964,90,2096,66,1956,88,2110,69,1938,68,2075,118,1258,32,1408,236,627,42,905,233,146,20,399,843,14162,619,15624,24,1706,138,1868,67,3153,154,3374,25,1866,81,1972,28,2128,95,2251,43,4006,182,4231,73,3936,186,4195,108,3849,183,4140,151,3704,153,4008,207,2487,83,2777,378,1228,78,1684,329,257,28,614,1433,28320,1361,31114
POA6063,6,491,59,556,25,1036,58,1119,11,526,36,573,4,545,30,579,10,1014,58,1082,8,965,64,1037,37,890,60,987,43,659,34,736,24,235,15,274,31,74,10,115,9,22,9,40,208,6457,433,7098,3,453,40,496,15,907,76,998,10,468,22,500,6,480,30,516,22,1011,43,1076,21,992,44,1057,37,973,49,1059,44,619,25,688,25,268,17,310,44,100,13,157,15,20,6,41,242,6291,365,6898,9,944,99,1052,40,1943,134,2117,21,994,58,1073,10,1025,60,1095,32,2025,101,2158,29,1957,108,2094,74,1863,109,2046,87,1278,59,1424,49,503,32,584,75,174,23,272,24,42,15,81,450,12748,798,13996
POA6064,12,989,88,1089,71,2025,124,2220,32,1142,77,1251,26,1048,65,1139,34,2017,122,2173,60,1983,118,2161,67,1869,114,2050,111,1431,71,1613,107,796,64,967,89,275,30,394,55,35,9,99,664,13610,882,15156,12,979,104,1095,38,1937,142,2117,8,1066,52,1126,14,1007,50,1071,31,2058,100,2189,45,1999,113,2157,91,1962,85,2138,120,1554,63,1737,95,828,46,969,142,316,37,495,103,53,33,189,699,13759,825,15283,24,1968,192,2184,109,3962,266,4337,40,2208,129,2377,40,2055,115,2210,65,4075,222,4362,105,3982,231,4318,158,3831,199,4188,231,2985,134,3350,202,1624,110,1936,231,591,67,889,158,88,42,288,1363,27369,1707,30439
POA6065,30,2236,112,2378,103,3842,170,4115,44,1695,70,1809,16,1551,52,1619,26,3906,209,4141,43,4123,192,4358,35,2989,136,3160,97,2013,96,2206,93,1055,43,1191,107,453,53,613,72,80,27,179,666,23943,1160,25769,15,2182,125,2322,43,3728,153,3924,24,1607,65,1696,15,1546,66,1627,23,4171,158,4352,25,4297,141,4463,51,3028,115,3194,93,2106,83,2282,90,1190,38,1318,184,539,70,793,181,104,51,336,744,24498,1065,26307,45,4418,237,4700,146,7570,323,8039,68,3302,135,3505,31,3097,118,3246,49,8077,367,8493,68,8420,333,8821,86,6017,251,6354,190,4119,179,4488,183,2245,81,2509,291,992,123,1406,253,184,78,515,1410,48441,2225,52076
POA6066,9,567,36,612,47,1394,70,1511,22,868,42,932,6,755,45,806,13,978,62,1053,14,1220,73,1307,21,1500,63,1584,53,837,38,928,35,357,14,406,34,158,14,206,14,17,3,34,268,8651,460,9379,7,500,27,534,17,1405,78,1500,10,841,29,880,7,676,19,702,17,1037,39,1093,29,1464,67,1560,30,1589,55,1674,47,799,24,870,46,379,22,447,70,177,14,261,29,20,3,52,309,8887,377,9573,16,1067,63,1146,64,2799,148,3011,32,1709,71,1812,13,1431,64,1508,30,2015,101,2146,43,2684,140,2867,51,3089,118,3258,100,1636,62,1798,81,736,36,853,104,335,28,467,43,37,6,86,577,17538,837,18952
POA6067,0,8,0,8,0,14,0,14,0,5,4,9,0,0,0,0,0,8,0,8,0,6,0,6,0,6,0,6,0,3,3,6,3,3,0,6,0,0,0,0,0,0,0,0,3,53,7,63,0,6,0,6,0,10,0,10,0,4,0,4,0,5,0,5,0,12,3,15,0,11,0,11,0,10,0,10,0,3,0,3,0,3,0,3,0,0,0,0,3,0,0,3,3,64,3,70,0,14,0,14,0,24,0,24,0,9,4,13,0,5,0,5,0,20,3,23,0,17,0,17,0,16,0,16,0,6,3,9,3,6,0,9,0,0,0,0,3,0,0,3,6,117,10,133
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,14,1254,56,1324,68,2166,101,2335,20,786,36,842,3,649,34,686,5,1853,92,1950,15,2052,121,2188,14,1362,78,1454,27,790,42,859,37,476,18,531,26,176,5,207,32,37,3,72,261,11601,586,12448,6,1188,84,1278,43,2053,95,2191,5,792,44,841,3,751,35,789,19,2124,84,2227,15,2221,92,2328,22,1357,75,1454,24,874,25,923,39,508,22,569,62,165,16,243,48,27,7,82,286,12060,579,12925,20,2442,140,2602,111,4219,196,4526,25,1578,80,1683,6,1400,69,1475,24,3977,176,4177,30,4273,213,4516,36,2719,153,2908,51,1664,67,1782,76,984,40,1100,88,341,21,450,80,64,10,154,547,23661,1165,25373
POA6070,0,91,4,95,4,259,8,271,3,142,0,145,3,74,4,81,0,96,10,106,0,204,12,216,0,269,6,275,5,261,13,279,10,175,8,193,10,55,4,69,8,4,0,12,43,1630,69,1742,0,103,3,106,3,246,5,254,0,104,0,104,3,84,3,90,0,112,3,115,3,250,12,265,3,310,4,317,4,279,11,294,6,155,5,166,5,45,3,53,6,12,0,18,33,1700,49,1782,0,194,7,201,7,505,13,525,3,246,0,249,6,158,7,171,0,208,13,221,3,454,24,481,3,579,10,592,9,540,24,573,16,330,13,359,15,100,7,122,14,16,0,30,76,3330,118,3524
POA6071,3,77,9,89,4,243,21,268,3,138,10,151,0,99,9,108,3,86,6,95,0,212,32,244,0,271,22,293,4,235,13,252,11,140,14,165,10,46,3,59,4,10,0,14,42,1557,139,1738,0,76,14,90,3,230,18,251,0,140,13,153,0,80,5,85,3,100,11,114,6,230,22,258,4,307,20,331,5,261,13,279,8,133,6,147,3,46,7,56,10,8,0,18,42,1611,129,1782,3,153,23,179,7,473,39,519,3,278,23,304,0,179,14,193,6,186,17,209,6,442,54,502,4,578,42,624,9,496,26,531,19,273,20,312,13,92,10,115,14,18,0,32,84,3168,268,3520
POA6072,0,14,4,18,0,49,6,55,0,40,0,40,0,23,3,26,0,25,0,25,0,41,0,41,0,62,14,76,3,59,8,70,5,36,0,41,0,19,0,19,3,3,0,6,11,371,35,417,0,17,0,17,0,48,0,48,0,27,6,33,0,25,3,28,0,35,4,39,3,48,3,54,0,78,7,85,4,51,4,59,0,32,3,35,0,11,0,11,4,3,0,7,11,375,30,416,0,31,4,35,0,97,6,103,0,67,6,73,0,48,6,54,0,60,4,64,3,89,3,95,0,140,21,161,7,110,12,129,5,68,3,76,0,30,0,30,7,6,0,13,22,746,65,833
POA6073,3,62,5,70,7,183,8,198,0,118,4,122,4,66,0,70,0,78,7,85,3,157,11,171,3,233,18,254,8,213,11,232,7,127,9,143,14,73,7,94,3,14,3,20,52,1324,83,1459,0,69,0,69,3,169,17,189,0,100,3,103,0,61,4,65,0,94,0,94,0,209,9,218,4,213,9,226,4,214,12,230,9,149,8,166,19,85,19,123,27,27,20,74,66,1390,101,1557,3,131,5,139,10,352,25,387,0,218,7,225,4,127,4,135,0,172,7,179,3,366,20,389,7,446,27,480,12,427,23,462,16,276,17,309,33,158,26,217,30,41,23,94,118,2714,184,3016
POA6074,0,13,0,13,0,75,0,75,0,44,0,44,0,25,0,25,0,27,0,27,4,62,0,66,0,67,6,73,5,69,7,81,5,41,0,46,3,9,0,12,0,5,0,5,17,437,13,467,0,20,0,20,0,56,0,56,0,36,0,36,0,17,0,17,0,30,4,34,0,71,5,76,6,84,4,94,0,71,4,75,0,45,0,45,0,15,0,15,5,3,0,8,11,448,17,476,0,33,0,33,0,131,0,131,0,80,0,80,0,42,0,42,0,57,4,61,4,133,5,142,6,151,10,167,5,140,11,156,5,86,0,91,3,24,0,27,5,8,0,13,28,885,30,943
POA6076,4,554,19,577,33,1382,59,1474,12,826,31,869,5,523,33,561,8,714,35,757,16,1223,65,1304,17,1422,79,1518,37,1463,85,1585,50,1057,43,1150,62,468,30,560,57,86,35,178,301,9718,514,10533,3,490,14,507,10,1327,59,1396,8,816,33,857,6,521,31,558,17,726,22,765,11,1415,51,1477,20,1559,65,1644,36,1580,54,1670,51,1073,41,1165,95,517,33,645,130,127,28,285,387,10151,431,10969,7,1044,33,1084,43,2709,118,2870,20,1642,64,1726,11,1044,64,1119,25,1440,57,1522,27,2638,116,2781,37,2981,144,3162,73,3043,139,3255,101,2130,84,2315,157,985,63,1205,187,213,63,463,688,19869,945,21502
POA6077,0,23,0,23,4,101,11,116,0,54,5,59,3,54,0,57,0,41,4,45,0,60,3,63,0,131,7,138,3,131,5,139,7,73,3,83,5,31,3,39,0,11,0,11,22,710,41,773,0,21,0,21,0,73,10,83,0,60,0,60,0,42,3,45,0,45,3,48,0,73,7,80,3,134,6,143,6,109,9,124,8,81,3,92,3,40,4,47,9,3,0,12,29,681,45,755,0,44,0,44,4,174,21,199,0,114,5,119,3,96,3,102,0,86,7,93,0,133,10,143,3,265,13,281,9,240,14,263,15,154,6,175,8,71,7,86,9,14,0,23,51,1391,86,1528
POA6078,0,10,3,13,7,80,3,90,0,36,3,39,0,31,0,31,0,39,0,39,0,40,3,43,0,78,4,82,0,65,5,70,4,30,4,38,4,3,3,10,3,0,0,3,18,412,28,458,0,13,3,16,3,52,4,59,0,38,4,42,0,19,0,19,0,27,4,31,0,53,5,58,0,81,3,84,0,68,0,68,0,24,0,24,0,3,0,3,0,0,0,0,3,378,23,404,0,23,6,29,10,132,7,149,0,74,7,81,0,50,0,50,0,66,4,70,0,93,8,101,0,159,7,166,0,133,5,138,4,54,4,62,4,6,3,13,3,0,0,3,21,790,51,862
