POA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
POA6026,0,0,0,0,0,0,0,0,0,0,571,1196,1144,1367,760,989,456,180,99,6773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,3,0,0,0,21,0,0,0,0,0,0,0,0,0,7,0,3,7,26,4,4,5,0,0,54,0,0,0,0,0,4,3,3,0,13,0,0,0,0,0,0,3,0,0,4,4,133,154,284,345,289,235,96,52,1587,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,16,0,4,3,6,11,8,21,4,3,58,0,0,0,0,3,3,0,0,0,11,0,0,0,11,3,8,3,0,0,19,0,3,5,17,20,19,20,5,5,97,0,0,3,3,0,0,0,0,0,10,0,3,0,10,9,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0
POA6027,0,0,3,6,3,4,0,0,0,15,1100,1931,1941,2966,1251,1120,556,206,68,11137,0,3,4,12,0,0,0,0,0,22,0,0,0,4,0,5,0,0,0,13,0,0,0,6,0,0,0,0,0,4,0,3,4,21,11,12,3,0,0,62,0,0,0,0,3,0,0,0,0,4,0,9,29,65,10,3,3,0,0,124,0,0,0,3,5,3,3,5,0,28,0,5,8,14,4,15,7,4,0,55,28,233,338,749,789,640,472,194,56,3489,0,0,0,3,3,0,0,0,0,13,0,0,0,20,3,3,3,0,0,28,0,0,12,29,26,21,27,10,5,138,0,0,0,3,4,0,4,8,0,15,0,0,11,18,0,10,3,0,0,37,4,8,38,96,19,20,19,4,3,209,0,3,4,14,4,4,9,0,0,39,0,3,0,41,8,5,11,0,3,67,0,4,3,4,6,0,0,0,0,12
POA6028,0,0,0,8,3,3,3,0,0,20,559,1199,1037,1065,652,415,157,67,12,5163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,9,3,0,0,0,26,0,0,0,0,4,0,0,0,0,4,0,0,5,23,5,6,4,4,0,54,0,0,0,3,4,0,0,0,0,11,0,0,0,11,5,13,3,0,0,31,18,243,382,529,697,411,175,69,24,2549,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,0,0,5,4,13,4,8,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,4,0,3,0,13,0,0,3,23,17,9,9,4,0,74,3,0,4,6,0,0,0,0,0,20,0,0,3,5,11,4,6,0,0,29,0,0,0,0,0,0,0,0,0,3
POA6029,0,0,0,0,0,0,0,0,0,0,64,154,150,218,132,115,88,48,18,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,25,29,25,11,12,5,114,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6030,0,0,11,24,12,8,0,0,0,57,1267,2127,1721,2424,943,576,372,258,104,9790,0,0,0,9,0,0,0,0,0,15,0,0,6,10,3,7,0,0,0,26,0,0,0,12,8,3,0,0,0,23,0,9,6,15,7,5,0,0,0,46,0,0,0,4,4,4,0,3,0,26,3,4,3,41,9,4,3,0,0,71,0,0,0,4,0,4,7,7,0,21,0,5,3,13,4,9,6,0,0,44,21,289,473,773,849,386,306,215,56,3371,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,12,0,4,8,17,14,17,11,7,3,81,0,0,0,0,0,7,3,0,0,12,0,3,0,8,0,0,0,0,0,10,3,8,17,124,27,8,13,8,0,211,0,3,9,7,0,5,0,0,0,23,0,3,8,8,5,4,0,0,0,27,0,0,3,0,3,0,0,0,0,7
POA6031,0,0,0,8,3,3,0,0,0,14,729,919,621,1262,284,167,71,18,3,4092,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,0,0,0,0,17,0,0,0,3,0,4,0,0,0,10,0,3,3,0,3,0,0,0,0,11,13,128,183,392,307,154,89,33,5,1309,0,0,0,0,3,3,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,0,8,3,4,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,11,3,11,19,143,16,9,7,3,3,212,0,0,3,8,3,0,0,0,0,13,0,0,0,3,5,3,0,3,0,15,0,0,0,3,0,0,0,0,0,6
POA6032,0,0,0,0,0,0,0,0,0,0,0,9,10,12,9,13,3,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6033,0,0,0,0,0,0,0,0,0,0,3,23,34,21,18,23,15,3,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,12,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6034,0,0,0,0,0,0,0,0,0,0,82,67,68,143,19,10,3,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,77,30,14,3,3,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6035,0,0,0,0,0,0,0,0,0,0,375,501,283,603,218,138,125,61,15,2323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,88,86,232,169,89,96,48,13,823,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,3,0,4,0,0,12,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6036,0,0,0,6,0,3,0,0,0,13,642,874,533,961,265,144,64,28,10,3521,0,0,0,7,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,6,4,0,0,0,0,16,0,0,0,3,0,0,0,0,0,4,0,0,0,5,3,3,0,0,0,12,0,0,3,0,0,0,0,0,0,3,0,3,3,8,8,0,0,0,0,22,19,178,232,417,380,114,102,40,9,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,4,4,0,3,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,4,0,4,4,37,7,0,0,0,0,60,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,11,0,4,3,0,8,0,0,0,0,12
POA6037,0,0,0,0,0,0,0,0,0,0,97,189,118,233,115,91,59,36,8,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,14,30,55,41,42,17,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6038,0,0,0,0,0,0,0,0,0,0,294,252,190,472,74,31,23,3,0,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,90,91,238,115,40,30,6,0,610,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,4,3,35,0,0,0,0,0,47,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6041,0,0,0,0,0,0,0,0,0,0,38,88,43,87,59,77,61,20,4,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,21,15,32,17,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6043,0,0,0,0,0,0,0,0,0,0,8,9,3,18,16,13,14,10,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6044,0,0,0,0,0,0,0,0,0,0,14,55,40,82,60,88,83,31,4,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,10,10,8,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6050,0,0,0,0,0,0,0,0,0,0,322,605,710,1187,608,469,286,119,98,4416,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,21,0,0,0,5,0,0,0,0,0,10,0,3,9,15,7,6,3,0,3,47,0,0,0,0,0,0,4,3,0,6,0,0,0,3,0,0,4,3,0,7,0,15,35,146,129,107,72,36,24,563,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,0,0,22,0,0,0,14,3,4,17,0,0,39,0,0,0,3,0,3,9,7,3,26,0,3,3,3,4,6,0,0,0,16,0,3,6,55,8,7,14,3,0,98,0,3,3,4,3,0,0,0,0,14,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5
POA6051,0,0,11,9,0,0,0,0,0,20,305,354,328,1232,361,308,185,48,22,3145,0,0,0,42,0,0,0,0,0,44,0,0,0,6,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,4,0,0,19,0,0,0,0,4,0,0,0,0,9,0,3,10,35,9,8,3,0,0,63,0,0,0,0,0,3,3,0,0,17,0,0,0,0,0,0,0,3,0,5,0,9,15,168,97,69,51,12,4,430,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,3,0,0,0,20,0,0,5,11,3,9,5,4,0,39,0,0,0,0,0,0,0,0,0,8,0,0,3,9,0,3,0,0,0,17,20,33,45,300,10,18,17,3,0,447,0,0,6,13,3,0,0,0,0,34,0,0,4,19,3,3,3,0,0,31,0,0,4,3,3,3,0,0,0,8
POA6052,0,0,0,3,0,0,0,0,0,3,352,545,525,958,442,342,166,72,33,3437,0,0,0,4,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,0,16,0,0,0,0,0,4,0,0,0,3,0,0,6,19,11,0,4,0,0,43,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,8,3,10,3,107,67,71,47,22,12,336,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,8,0,0,0,12,3,3,4,0,0,29,0,0,0,0,0,0,3,4,0,11,0,0,4,6,4,0,0,3,0,19,0,3,6,39,14,6,13,3,3,94,0,0,0,7,0,0,0,0,0,8,0,0,3,8,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3
POA6053,0,0,8,4,0,0,0,0,0,11,414,674,562,1305,592,428,239,143,81,4443,0,0,0,3,0,3,0,0,0,6,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,0,0,0,17,0,0,0,0,0,4,0,0,0,4,0,3,20,23,4,7,0,0,3,64,0,0,0,0,0,6,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,10,17,125,99,92,63,29,23,456,0,0,0,0,0,0,0,0,0,4,0,0,0,9,3,5,0,0,0,14,0,0,0,7,7,9,14,0,0,35,0,0,0,0,0,0,3,0,0,8,0,0,4,16,0,3,4,0,0,22,4,18,15,102,14,20,15,4,0,196,0,0,3,7,0,0,0,0,0,9,0,0,3,14,0,0,0,0,0,23,0,0,0,3,3,0,0,0,0,5
POA6054,0,0,5,9,0,0,0,0,0,17,668,1042,947,1741,792,631,349,183,44,6397,0,0,0,5,0,3,0,0,0,11,0,0,0,12,4,11,5,0,0,36,0,0,0,0,3,0,0,0,0,6,0,0,0,9,3,6,0,0,0,14,0,0,0,0,3,3,0,0,0,4,0,9,11,33,10,8,9,0,0,79,0,0,0,3,0,14,5,6,0,32,0,0,0,0,0,0,0,0,0,4,0,11,22,138,163,110,114,68,19,637,0,0,0,3,0,0,0,0,0,3,0,0,0,11,4,0,0,0,0,20,0,0,4,14,8,0,16,3,0,46,0,0,0,0,0,3,5,3,0,8,0,0,3,14,4,0,0,0,0,21,5,3,34,102,32,27,21,19,7,252,0,4,4,10,3,0,0,0,0,24,0,0,0,5,3,4,0,3,0,13,0,0,0,8,5,0,0,0,0,8
POA6055,0,3,13,23,3,0,0,0,0,51,832,1033,875,1790,617,521,269,116,27,6077,0,0,0,3,0,0,0,0,0,8,0,0,0,14,4,0,0,0,0,17,0,0,0,3,0,3,0,0,0,5,0,0,0,4,4,3,0,0,0,14,0,0,0,4,0,0,0,0,0,5,0,0,3,24,10,0,0,0,0,37,0,0,0,3,5,9,11,10,0,37,0,4,0,3,0,0,0,0,0,9,6,22,26,171,156,114,79,47,6,622,0,0,0,5,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,7,8,5,9,9,0,36,0,0,0,0,0,0,0,0,0,4,0,0,4,15,3,0,0,0,0,22,3,35,52,444,44,16,25,7,0,632,0,0,3,15,0,0,0,0,0,20,0,0,3,8,0,0,0,0,0,12,0,0,3,12,5,4,0,0,0,25
POA6056,0,0,10,9,0,0,0,0,0,18,1097,1980,2087,3405,1703,1385,834,396,92,12983,0,0,3,7,0,4,0,0,0,17,0,0,0,14,11,3,0,0,0,21,0,0,0,3,0,0,0,0,0,3,0,0,3,11,9,4,3,0,3,30,0,0,0,0,0,0,0,0,0,3,0,8,9,33,23,3,5,0,0,77,0,0,0,5,4,14,34,27,3,95,0,0,0,3,4,0,3,0,0,14,8,31,46,176,290,283,277,149,61,1318,0,0,0,4,8,0,0,0,0,9,0,0,3,4,3,7,3,0,0,21,0,0,4,15,15,9,46,9,0,102,0,0,0,0,0,3,0,4,0,5,0,0,0,7,0,0,0,0,0,6,8,28,19,194,41,23,28,9,9,364,4,0,4,4,0,4,0,0,0,16,0,0,3,4,0,0,0,0,0,17,0,0,3,3,0,0,0,0,0,13
POA6057,0,0,0,0,0,0,0,0,0,3,518,968,871,1633,705,576,317,150,26,5770,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,16,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,20,86,137,117,131,84,29,613,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,4,0,0,11,0,0,3,4,3,3,20,3,3,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,34,9,18,9,8,3,88,0,0,3,8,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6058,0,0,18,32,10,0,0,0,0,56,393,603,613,1194,464,438,271,95,21,4100,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,3,5,15,4,0,0,0,0,32,0,0,0,0,0,0,3,0,0,6,0,0,0,0,5,0,3,0,0,3,3,9,23,71,97,75,89,68,15,437,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,3,10,5,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,8,3,10,14,83,8,4,13,4,4,145,0,0,4,4,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
POA6059,0,0,14,24,0,0,0,0,0,37,564,1046,983,1477,777,567,365,320,92,6185,0,0,0,7,0,0,0,0,0,14,0,0,4,15,4,8,0,0,0,37,0,0,0,3,7,3,0,0,0,14,0,0,0,9,3,6,0,0,0,13,0,0,0,0,0,0,0,0,0,7,5,9,31,98,36,26,12,5,4,227,0,0,0,8,3,4,14,3,3,38,0,0,0,0,3,0,9,4,0,17,4,11,13,122,102,96,74,54,22,499,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,3,0,13,0,0,3,5,3,3,11,6,3,38,0,0,0,6,7,12,20,37,9,90,0,5,8,36,10,6,3,0,0,64,11,19,40,157,42,30,34,15,9,358,3,0,3,14,0,0,3,0,0,27,0,3,9,26,12,9,3,0,0,63,0,3,4,28,11,5,3,0,0,49
POA6060,0,0,7,11,0,0,0,0,0,24,630,632,633,1981,700,526,272,172,113,5653,0,0,0,5,0,0,0,0,0,10,0,0,0,18,12,12,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,3,3,0,0,22,0,0,0,5,3,0,0,0,0,13,5,7,17,67,16,8,7,3,0,135,0,0,3,11,5,4,5,4,3,33,0,0,0,4,3,0,0,0,0,15,0,10,9,195,110,86,82,44,9,560,0,0,0,0,0,3,0,0,0,3,0,0,0,17,3,3,0,0,0,25,0,5,0,14,4,4,7,0,0,44,0,0,0,0,3,9,17,22,5,57,0,0,9,21,3,0,4,0,0,42,9,26,63,410,16,19,13,5,6,567,0,0,3,8,0,0,0,0,0,15,0,10,7,47,14,7,3,0,0,93,0,0,3,18,6,3,0,0,0,25
