POA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
POA6030,137,11,0,16,151,11,0,162,1309,219,46,5,1585,44,10,56,1635,72,3,1708,2250,299,34,23,2604,89,4,89,2691,55,0,2752,168,20,21,3,211,5,0,5,220,3,0,220,22,10,0,35,67,6,0,6,68,5,0,81,3756,551,92,65,4464,144,12,153,4616,137,3,4760,76,21,4,0,102,23,0,21,124,13,0,134,155,37,5,0,202,8,0,9,209,10,0,219,234,55,13,0,306,32,3,34,334,24,0,358,3987,613,109,66,4766,172,16,190,4956,159,3,5121,1433,216,71,61,1782,144,11,152,1935,241,0,2175,3,0,3,15,16,3,0,3,22,8,19,45,5424,825,179,139,6566,315,27,347,6913,408,25,7345
POA6031,58,6,0,6,58,5,0,62,699,88,11,0,797,27,3,28,827,51,4,881,1253,160,31,16,1464,35,0,35,1501,22,0,1526,115,12,21,0,144,0,0,0,142,9,3,155,17,0,0,7,26,0,0,0,26,0,5,29,2083,260,61,29,2427,60,3,64,2495,81,17,2591,44,4,0,0,51,8,0,8,55,3,0,64,74,3,5,5,91,15,4,22,109,7,0,114,114,11,5,9,136,27,4,23,165,11,0,181,2194,274,63,36,2566,88,7,94,2658,92,17,2769,741,72,37,46,895,47,16,61,955,92,0,1046,9,0,0,3,10,0,0,0,10,0,15,23,2949,340,99,77,3469,131,20,154,3619,186,30,3842
POA6032,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,14,0,0,14,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,17,0,0,17,7,3,0,0,9,3,0,3,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,23,3,0,3,24,0,0,24
POA6033,0,0,0,0,0,0,0,0,16,0,0,0,18,0,0,0,18,0,0,17,27,5,0,0,38,0,0,0,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,5,42,10,0,5,60,0,0,0,59,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,5,0,0,5,3,0,0,0,3,3,0,3,5,0,0,5,45,10,0,5,60,5,0,5,66,0,0,66,12,0,0,0,12,0,0,0,14,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,57,9,0,5,72,5,0,5,75,8,0,82
POA6034,3,0,0,0,3,0,0,3,64,5,0,0,67,0,0,0,67,0,0,69,122,11,4,0,137,0,0,0,140,0,0,141,15,3,3,0,18,0,0,0,18,0,3,20,3,0,0,3,4,0,0,0,4,0,0,4,199,19,3,4,231,0,0,0,233,0,3,235,5,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,4,0,0,4,14,0,0,0,14,0,0,0,14,0,0,14,208,19,3,4,240,0,0,0,242,0,3,242,64,4,6,0,70,3,0,3,72,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,270,18,7,7,306,3,0,3,313,0,3,320
POA6035,13,0,0,0,13,0,0,14,221,43,6,3,280,22,0,18,296,14,0,313,446,68,13,14,543,16,0,21,563,14,0,583,38,5,5,0,46,3,0,3,46,0,0,46,3,9,0,13,23,0,0,0,23,0,0,23,708,122,26,31,894,34,6,38,931,35,0,966,17,0,3,0,23,10,0,10,28,4,0,35,47,3,0,0,51,7,5,14,60,0,0,60,66,3,3,0,69,15,5,17,90,4,0,98,774,123,25,31,963,50,6,58,1019,40,0,1063,344,36,30,12,426,43,0,44,468,41,3,513,3,0,0,3,7,0,0,0,7,0,0,9,1124,163,61,52,1391,92,8,106,1497,78,7,1586
POA6036,36,0,0,0,36,6,0,40,602,54,19,6,673,28,3,27,702,41,0,745,1025,111,36,14,1186,35,5,41,1222,15,3,1240,67,20,29,0,113,3,0,3,110,3,0,113,7,7,0,8,17,0,0,0,24,0,0,24,1699,188,75,27,1991,66,6,77,2061,56,3,2120,53,5,0,0,56,12,0,12,68,12,0,84,86,12,0,0,95,12,0,12,105,0,0,106,137,16,0,0,154,22,0,22,175,13,0,190,1832,208,75,27,2139,86,6,93,2237,75,3,2310,713,69,26,11,815,56,17,75,888,104,0,999,16,0,0,0,16,0,0,0,16,0,5,20,2561,271,103,33,2972,149,21,167,3140,178,6,3324
POA6037,8,0,0,0,8,0,0,8,46,4,0,0,52,8,3,9,59,0,0,59,174,20,3,0,199,9,0,9,206,11,0,223,12,0,0,0,13,0,4,3,18,0,3,19,0,0,0,5,8,0,0,0,8,0,0,8,229,27,3,4,270,15,9,24,291,11,3,304,11,0,0,0,10,0,0,0,10,0,0,10,7,0,0,3,7,3,0,3,9,3,0,15,18,0,0,3,24,3,0,3,26,3,0,25,245,22,3,9,286,21,9,27,316,13,3,333,93,16,6,4,123,8,0,8,130,7,0,140,0,0,0,0,0,0,0,0,0,0,0,0,341,43,14,13,407,28,9,34,439,27,3,467
POA6038,14,0,0,0,14,0,0,15,213,23,7,0,239,17,3,19,256,3,0,265,410,41,12,4,466,10,3,9,476,13,0,487,45,5,3,0,49,0,0,0,56,0,0,56,0,0,3,6,10,0,0,0,10,0,0,10,674,64,22,12,773,28,3,27,803,10,0,817,15,0,0,0,15,0,0,0,15,0,0,15,37,3,0,3,44,0,0,0,41,0,0,41,49,3,0,3,57,0,0,0,60,0,0,60,728,63,26,13,830,28,8,31,860,10,0,877,301,25,19,3,343,16,0,16,357,21,0,382,3,0,0,0,3,0,0,0,3,0,0,3,1027,89,43,12,1172,42,8,53,1222,33,3,1261
POA6041,0,0,0,0,0,0,0,0,25,8,6,0,31,0,0,0,31,4,0,33,51,11,4,0,72,6,0,6,76,0,0,76,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,79,19,5,0,102,6,0,6,110,5,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,19,5,0,102,4,0,4,108,5,0,111,49,3,0,9,68,3,0,3,70,13,0,79,0,0,0,0,0,0,0,0,0,0,0,0,129,25,5,8,172,7,0,7,178,21,0,196
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6043,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,3,6,0,0,6,3,3,3,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,9,3,0,3,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,9,3,0,3,16,0,0,16,4,0,7,0,11,3,0,3,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,21,3,0,3,22,0,0,22
POA6044,0,0,0,0,0,0,0,0,17,4,0,0,20,0,0,0,20,0,0,22,31,4,0,0,41,4,0,4,40,4,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6,0,0,6,52,11,0,3,66,4,0,4,73,4,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,11,0,3,66,0,0,3,71,6,0,76,22,3,3,0,31,0,0,0,31,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,76,16,3,3,101,0,0,3,103,12,0,116
POA6050,92,0,0,0,93,13,0,110,451,61,5,3,527,22,3,23,551,35,0,583,854,93,6,4,955,25,0,24,981,19,0,1006,76,6,15,0,93,0,0,0,93,0,0,93,5,4,0,5,12,0,0,0,12,0,0,12,1384,168,23,10,1588,43,4,46,1639,59,0,1696,26,0,6,0,32,0,0,0,32,0,0,31,17,5,0,0,23,3,0,3,32,0,0,32,45,5,3,0,58,3,0,3,63,0,0,65,1433,175,28,10,1646,51,4,54,1700,59,0,1760,472,35,6,0,514,15,0,15,524,47,3,578,0,0,0,0,0,0,0,0,0,3,3,3,1903,202,39,17,2163,63,4,64,2227,105,4,2337
POA6051,25,0,3,3,29,3,0,30,243,44,0,3,289,7,3,16,306,19,0,321,378,68,0,7,447,13,4,18,463,18,4,483,36,4,8,0,53,0,0,0,53,0,0,53,0,0,0,0,5,0,0,0,5,0,0,5,658,112,9,6,792,24,5,33,820,33,4,861,22,10,0,0,31,5,0,5,41,3,0,39,40,12,0,0,48,0,0,0,50,3,0,56,62,19,0,0,83,5,0,8,91,3,0,97,721,132,9,6,869,29,5,40,909,36,4,954,299,58,8,10,369,18,0,20,392,41,3,432,0,0,0,4,4,0,0,0,4,0,4,9,1024,192,17,20,1243,54,9,62,1305,79,7,1398
POA6052,50,0,0,0,52,7,0,56,342,43,3,3,391,9,5,16,408,23,0,436,723,64,9,4,795,14,0,16,813,11,0,819,83,4,3,0,86,0,0,0,85,11,0,97,9,0,0,0,9,0,0,0,9,0,0,9,1154,112,21,7,1286,23,7,28,1315,39,0,1361,15,3,0,0,15,0,0,0,22,0,0,22,31,3,0,0,35,5,3,9,42,0,0,39,46,4,0,0,51,7,3,12,64,0,0,65,1203,114,21,7,1340,34,11,45,1376,43,0,1418,342,32,16,8,396,14,0,14,410,45,0,454,0,0,0,0,0,0,5,5,8,0,0,5,1541,143,32,10,1732,46,12,59,1790,86,0,1883
POA6053,47,3,0,3,46,4,0,53,456,89,4,3,545,23,9,29,580,30,0,612,855,91,10,10,972,18,0,18,985,22,3,1012,67,9,5,0,83,0,0,0,89,0,0,89,3,4,0,0,3,3,0,3,8,0,0,6,1380,192,26,17,1612,43,5,47,1660,56,4,1715,14,3,0,0,22,3,0,3,22,0,0,22,42,5,0,0,50,0,0,0,50,8,0,58,60,8,0,3,70,6,0,6,76,8,0,85,1439,197,26,16,1679,50,5,53,1732,59,4,1795,410,41,13,5,472,26,0,26,502,62,0,567,0,3,0,3,4,0,0,0,4,0,0,8,1854,245,37,24,2160,71,5,83,2236,128,5,2373
POA6054,63,3,0,3,68,3,0,72,529,57,11,0,598,18,3,21,621,57,0,674,983,136,25,12,1155,28,7,31,1189,41,0,1230,102,11,9,0,128,4,0,4,129,0,0,127,20,0,4,10,33,0,0,0,33,0,0,35,1628,213,48,20,1912,46,6,58,1966,97,0,2066,31,5,3,0,44,4,0,4,47,10,0,52,56,0,0,0,62,8,4,8,71,11,0,75,90,8,3,0,100,9,4,14,121,14,0,135,1720,222,53,22,2012,59,12,74,2085,113,0,2199,603,98,30,9,743,54,13,64,810,127,3,935,7,0,0,0,9,0,0,0,9,0,4,10,2331,314,85,32,2763,116,23,136,2903,233,7,3141
POA6055,61,0,0,3,65,5,0,74,789,68,21,7,884,28,11,33,917,31,4,953,1182,136,26,5,1350,21,7,26,1370,54,0,1424,139,16,31,0,186,3,0,3,191,0,3,193,23,4,0,8,29,0,0,0,29,0,0,34,2130,219,82,23,2452,45,16,60,2512,83,5,2610,39,7,0,0,43,11,0,11,56,0,0,56,76,7,11,3,99,0,4,5,104,0,0,104,116,15,11,3,145,13,4,14,156,0,0,156,2243,236,91,27,2597,57,13,71,2666,83,5,2760,799,91,24,27,940,25,3,23,969,89,0,1055,0,3,0,10,12,0,0,0,12,0,21,31,3042,331,112,65,3552,82,20,100,3651,177,30,3850
POA6056,92,3,0,3,96,11,0,107,961,121,18,5,1101,44,20,67,1172,91,0,1261,1687,174,32,25,1920,62,5,66,1989,64,0,2051,125,25,23,0,176,4,0,4,182,4,0,187,22,0,0,21,42,4,0,4,48,3,0,51,2797,316,77,47,3238,113,29,141,3383,166,0,3548,57,5,0,3,63,20,0,20,79,14,0,93,92,8,5,0,110,7,10,19,131,9,0,135,150,15,5,5,177,28,10,40,211,19,0,230,2946,332,82,56,3414,142,38,180,3596,180,0,3774,1249,141,51,43,1489,70,11,87,1573,203,3,1777,13,0,0,0,13,0,0,0,13,0,20,36,4208,474,135,97,4913,219,52,267,5180,382,26,5591
POA6057,34,0,0,0,35,7,0,40,482,58,3,3,551,21,3,26,575,43,0,615,883,127,26,3,1039,17,3,19,1059,27,0,1089,69,4,11,0,87,0,0,0,87,0,0,87,16,6,0,3,22,3,0,3,22,0,0,22,1443,201,40,6,1693,44,4,50,1746,74,0,1820,25,0,3,0,23,9,3,9,33,0,3,36,60,8,0,0,71,14,0,14,82,0,0,81,87,8,3,0,91,16,3,24,114,3,3,117,1530,207,45,6,1792,61,6,68,1861,72,3,1936,673,58,20,7,762,41,0,41,800,57,3,861,3,0,0,0,3,0,0,0,3,0,5,11,2200,269,64,16,2555,103,6,107,2662,132,12,2809
POA6058,25,0,0,0,25,10,0,36,349,26,4,0,377,24,8,28,408,16,0,427,542,62,9,0,617,12,0,12,626,17,0,641,52,8,3,0,64,0,0,0,64,0,0,64,8,0,0,10,18,0,0,0,18,0,0,18,949,96,16,15,1076,35,8,39,1115,33,0,1152,22,0,0,0,22,5,3,7,27,0,0,27,44,3,0,0,51,3,0,3,52,5,0,62,71,3,0,0,75,11,3,7,88,5,0,93,1017,99,19,19,1153,45,10,50,1206,40,0,1240,453,70,15,18,558,38,4,40,594,64,0,663,0,0,0,0,4,3,0,3,5,0,0,6,1477,169,34,34,1713,82,11,95,1804,102,0,1915
POA6059,159,0,0,0,158,13,0,170,762,126,8,4,895,29,9,38,932,51,0,977,1323,155,25,18,1517,32,3,31,1556,52,0,1600,91,16,14,3,128,3,3,6,135,0,0,135,6,0,0,15,22,0,0,0,22,8,0,34,2183,291,46,47,2566,63,12,72,2643,106,0,2742,39,6,4,0,49,12,0,12,55,7,0,61,80,5,3,0,90,11,0,10,98,5,0,103,122,11,5,0,134,22,0,22,159,9,0,167,2304,299,53,45,2705,88,9,95,2800,115,0,2915,742,139,18,18,916,35,8,39,953,124,4,1083,8,0,0,3,7,0,0,0,7,0,11,20,3045,446,70,62,3624,118,23,137,3762,243,14,4018
POA6060,51,4,0,8,57,9,0,70,430,88,6,3,524,37,3,39,570,27,0,599,908,125,8,9,1052,31,3,36,1089,27,0,1112,130,9,9,4,154,0,0,3,155,5,0,160,8,0,0,14,20,0,0,0,20,0,0,19,1475,230,22,24,1747,73,9,84,1833,58,0,1893,21,10,0,0,37,6,0,6,37,0,0,38,59,4,4,0,68,9,5,14,86,3,0,86,88,17,4,0,107,13,5,22,120,3,0,129,1559,240,23,24,1854,87,14,99,1958,61,0,2016,602,96,7,7,709,21,10,35,740,91,0,828,0,0,0,0,3,0,0,0,3,0,3,5,2161,341,28,34,2565,115,22,134,2702,151,3,2856
POA6061,105,8,0,8,111,53,0,163,672,124,4,3,809,45,13,61,869,74,3,954,984,279,11,17,1290,77,8,82,1377,135,4,1511,112,27,17,0,154,7,0,7,167,7,0,175,20,4,0,30,58,3,0,3,59,3,0,61,1789,443,32,49,2317,133,27,158,2473,224,6,2701,103,12,7,8,130,29,0,28,160,16,0,177,100,16,0,3,123,34,7,35,159,26,0,188,205,29,9,13,257,61,7,66,325,41,0,362,1993,473,40,64,2570,192,30,222,2791,261,6,3062,1192,400,38,70,1694,195,59,260,1953,797,13,2762,14,4,0,14,35,0,0,0,35,18,39,98,3202,874,74,155,4304,391,90,480,4782,1078,61,5926
POA6062,146,6,4,8,153,26,0,181,917,119,4,9,1044,49,8,55,1099,63,0,1163,1459,225,21,18,1725,45,5,56,1776,69,3,1847,126,21,23,3,166,4,0,4,172,0,0,174,23,3,0,23,43,0,0,0,47,3,6,55,2523,366,43,50,2976,103,16,112,3095,142,11,3241,51,4,0,0,52,15,0,15,69,17,0,81,97,13,0,3,116,23,0,23,138,7,0,143,149,19,0,3,170,38,0,38,208,22,0,228,2673,378,43,51,3147,140,16,153,3301,159,11,3470,1027,179,17,40,1269,67,33,98,1365,211,8,1583,9,0,0,4,8,0,0,0,8,0,8,23,3704,562,65,98,4424,208,44,254,4678,371,27,5069
POA6063,56,4,0,9,62,15,0,72,461,58,4,3,530,17,7,25,554,45,0,602,730,109,10,0,849,29,8,36,888,38,0,925,31,15,9,3,54,0,0,0,54,0,0,54,14,0,0,9,28,0,0,0,28,0,3,29,1237,178,24,16,1461,44,14,57,1520,88,3,1611,35,8,0,3,53,20,0,20,73,0,0,69,57,7,0,0,59,11,0,9,76,9,0,80,88,15,3,3,109,26,0,32,147,10,0,156,1330,195,28,18,1573,74,16,88,1663,94,3,1760,653,132,15,28,827,84,7,93,921,224,0,1144,3,0,0,7,10,3,0,3,14,0,19,34,1986,329,43,56,2407,161,24,187,2599,319,20,2940
POA6064,136,8,3,14,144,39,0,188,794,120,8,3,925,35,9,47,970,118,4,1095,1284,291,23,19,1622,43,11,59,1678,126,3,1814,67,23,26,3,122,3,0,3,126,6,0,132,9,3,4,44,63,3,0,3,70,3,0,67,2156,441,61,76,2734,86,24,108,2844,253,13,3111,74,21,0,3,102,18,10,28,128,17,0,140,106,38,8,3,149,18,5,22,175,17,0,192,182,60,8,10,251,38,13,47,305,29,0,332,2341,507,63,80,2989,125,34,161,3151,281,13,3438,1130,357,32,52,1574,139,43,187,1761,591,11,2365,14,0,0,8,28,0,0,0,27,3,29,57,3474,866,101,151,4589,259,83,342,4936,877,51,5866
POA6065,283,17,0,17,299,32,0,333,2649,322,41,30,3045,89,7,97,3138,147,0,3282,4870,542,58,41,5510,128,12,139,5647,90,0,5741,432,32,67,3,533,10,0,10,545,8,0,551,48,12,5,51,119,0,0,0,119,3,0,120,8003,900,168,128,9200,226,16,249,9448,246,0,9698,110,14,0,0,126,29,4,41,162,8,0,175,295,27,3,3,324,39,3,41,365,21,0,384,404,41,3,3,451,70,8,78,528,28,0,556,8403,943,172,132,9653,292,27,323,9975,278,0,10256,2725,323,91,73,3218,128,13,143,3355,315,11,3682,10,0,0,11,21,0,0,0,21,0,25,44,11139,1267,259,215,12888,424,37,462,13350,598,40,13985
POA6066,129,3,3,6,136,18,0,160,663,89,12,3,774,35,3,36,810,53,0,864,971,193,18,5,1189,29,8,32,1219,40,0,1259,68,6,10,3,89,0,0,0,95,9,0,96,16,3,0,17,40,4,0,4,41,3,0,45,1728,292,36,30,2087,68,7,78,2165,100,3,2263,44,7,0,0,47,12,0,18,62,5,0,71,53,22,0,3,77,0,7,7,79,5,0,85,92,31,0,3,124,12,4,23,146,8,0,153,1820,322,36,37,2216,82,14,99,2309,106,6,2422,738,130,34,24,922,62,22,85,1009,227,7,1242,0,0,0,4,7,0,0,0,7,0,22,29,2564,448,70,60,3141,141,38,180,3328,333,30,3689
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,77,6,0,4,83,14,0,88,1706,185,35,7,1935,45,10,52,1983,97,0,2078,2668,268,49,15,3013,60,3,60,3068,54,0,3128,200,11,66,4,282,14,0,14,294,3,0,298,33,6,0,25,63,4,0,4,60,8,3,69,4608,475,150,50,5284,115,8,127,5409,158,4,5573,86,9,3,7,105,27,0,27,134,16,0,150,228,21,14,0,269,15,0,15,278,20,0,296,316,32,16,3,374,42,0,42,417,35,0,443,4925,506,168,56,5655,155,8,165,5826,193,4,6019,1951,195,67,50,2267,89,14,108,2371,197,0,2567,0,0,0,4,11,0,0,0,13,3,0,20,6879,706,236,112,7931,249,23,274,8204,391,8,8610
POA6070,19,0,0,0,19,0,0,21,157,9,0,0,169,3,0,3,171,8,0,181,269,20,4,0,294,8,0,7,303,13,0,315,12,5,5,0,20,0,0,0,20,0,0,23,7,0,0,0,7,0,0,0,7,0,0,7,436,39,6,0,485,8,0,12,497,21,0,518,3,0,0,0,3,0,0,0,3,0,0,3,22,0,0,0,22,3,0,3,18,0,0,18,24,0,0,0,24,3,0,3,23,0,0,23,459,39,6,0,511,16,0,15,523,21,0,539,181,20,0,3,198,0,0,0,201,10,0,211,0,0,0,0,0,0,0,0,0,0,0,0,642,54,8,3,706,18,0,19,723,30,0,751
POA6071,14,0,0,0,21,0,0,21,133,18,3,0,155,3,0,3,160,11,0,173,243,27,10,5,286,8,0,8,298,3,0,296,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,392,44,15,5,458,7,0,7,467,13,0,483,3,0,0,0,3,3,0,3,3,0,0,3,15,0,0,0,15,0,0,0,15,0,0,15,15,0,0,0,15,3,0,3,15,0,0,18,410,44,15,5,469,12,0,12,487,17,0,501,120,10,0,3,134,9,0,9,139,8,3,147,0,0,0,0,0,0,0,0,0,0,3,3,526,54,16,8,602,20,0,20,623,26,4,652
