POA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA6059,404,540,941,1007,1233,2242,0,0,0,122,143,261,3,7,7,3395,3793,7183,24,37,63,568,578,1144,9,19,32,24,37,52,24,33,58,9,11,21,49,59,106,47,56,96,121,122,247,5,19,21,3,18,25,164,255,419,268,340,608,8,8,15,5847,6757,12601,189,172,363,513,427,943,625,685,1311,0,0,0,72,66,138,58,62,118,126,128,255,2747,2439,5188,29,19,41,16,13,29,2780,2477,5260,906,906,1817,11392,12091,23486
POA6060,344,424,768,764,1045,1814,0,0,0,117,144,260,0,0,0,2841,3489,6324,21,35,58,371,443,812,64,88,150,33,35,66,16,25,46,25,29,51,63,86,144,72,111,179,125,153,280,11,11,23,7,13,19,122,227,351,287,363,654,8,10,15,4944,6308,11248,455,397,850,323,297,618,314,344,657,0,3,3,118,97,223,77,66,146,199,167,367,3319,3158,6477,61,31,92,18,24,44,3392,3216,6608,1082,1192,2275,11048,12347,23393
POA6061,924,1098,2023,1136,1342,2473,0,0,3,556,563,1115,0,0,3,3729,4059,7787,28,51,76,693,653,1342,112,153,266,41,39,79,26,33,60,119,122,238,144,152,289,296,337,636,209,226,431,30,39,62,67,71,132,125,175,297,729,833,1567,10,28,32,8029,8876,16902,766,597,1359,2299,1936,4239,30,18,51,3,5,8,444,312,758,97,121,219,546,438,982,4687,4053,8746,52,55,102,23,25,44,4760,4133,8892,2137,1978,4115,19503,19064,38563
POA6062,670,890,1558,1388,1673,3060,0,0,0,185,223,411,0,0,3,4966,5248,10213,38,56,90,463,483,940,54,66,116,34,43,77,41,57,94,21,22,45,83,106,188,97,128,226,167,201,368,38,54,93,35,50,87,199,285,491,430,520,952,20,10,29,8265,9224,17488,382,289,671,588,517,1108,207,211,423,0,3,7,101,77,178,75,80,155,179,160,339,4423,3694,8118,40,29,66,14,21,35,4478,3748,8222,1488,1371,2859,16253,16412,32670
POA6063,410,472,884,668,782,1450,0,0,0,148,153,304,0,0,0,1613,1695,3303,13,15,26,88,91,182,22,33,53,8,22,30,8,14,20,15,25,41,76,75,151,79,104,181,71,71,139,19,31,50,14,20,39,76,85,163,299,313,607,0,10,12,3226,3531,6754,240,221,463,656,546,1203,9,8,18,4,0,4,66,56,121,51,45,101,119,101,220,1941,1632,3579,18,16,31,11,16,22,1969,1668,3639,625,552,1180,7257,7106,14359
POA6064,1062,1195,2255,1406,1580,2991,0,0,0,607,602,1208,0,0,3,3454,3704,7161,33,40,72,571,546,1117,97,101,200,25,36,64,21,38,58,56,51,103,106,122,229,266,311,573,154,181,339,21,39,60,60,81,137,151,208,359,651,736,1380,23,17,41,7705,8384,16090,134,109,245,1079,916,2001,6,13,16,0,0,0,47,36,86,62,77,137,110,114,227,4170,3587,7760,62,32,88,16,30,42,4245,3652,7898,1375,1216,2596,15727,15601,31325
POA6065,695,856,1551,3723,4409,8135,3,3,5,559,603,1163,0,3,3,6691,7526,14215,93,122,213,651,656,1312,100,158,260,103,133,241,59,70,129,115,105,223,175,217,395,662,798,1463,476,534,1013,55,66,121,57,66,123,467,655,1117,1248,1409,2657,35,42,78,15278,17577,32855,1141,1053,2194,768,775,1542,28,29,54,3,0,3,154,146,302,184,202,383,337,352,687,9744,8566,18304,88,61,148,30,37,63,9857,8659,18520,2430,2176,4606,30537,31467,61998
POA6066,513,611,1124,1017,1216,2225,0,0,0,162,183,338,0,3,3,2298,2533,4830,24,28,52,168,187,361,31,35,71,33,37,74,13,21,38,9,6,16,67,65,127,106,111,220,98,97,188,25,32,54,16,21,34,111,143,258,307,312,615,6,7,16,4489,5034,9521,90,85,175,671,598,1272,33,35,71,0,0,0,13,17,32,35,42,82,53,61,113,2697,2295,4985,26,23,46,10,12,24,2726,2325,5053,731,647,1378,9312,9392,18704
POA6067,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,8,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,16,0,0,0,0,0,0,10,9,19,0,6,5,16,23,36
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,7
POA6069,233,303,543,2734,3312,6046,0,0,3,379,399,778,7,6,13,3762,4172,7928,21,27,46,141,140,280,70,78,154,76,79,163,52,60,118,11,19,31,125,153,280,357,395,755,334,349,680,38,63,102,52,51,108,244,294,535,796,922,1717,39,42,80,9252,10571,19821,464,414,886,310,327,636,13,11,27,5,3,4,263,248,508,54,78,132,316,325,645,6792,6301,13092,67,50,118,23,44,63,6880,6387,13270,1815,1749,3566,19297,20101,39391
POA6070,8,19,32,318,387,706,0,0,0,36,41,78,3,4,8,240,267,509,4,3,7,6,5,9,15,10,31,4,3,5,6,7,18,0,0,0,7,10,17,14,19,27,32,40,68,0,0,0,6,10,10,24,51,71,92,86,179,3,11,13,816,941,1758,3,3,5,4,0,3,5,4,4,0,0,0,0,0,0,10,7,21,15,7,21,780,714,1494,6,7,14,0,4,9,796,726,1524,170,149,311,1801,1855,3656
POA6071,20,23,43,292,310,603,0,0,0,26,26,53,16,13,30,227,247,480,3,7,15,16,9,24,14,17,33,0,12,12,8,13,18,0,0,0,10,11,20,3,3,5,14,34,46,0,4,5,7,6,8,50,66,108,68,79,140,0,0,5,752,861,1608,3,8,10,5,3,7,3,0,5,0,0,0,0,0,0,8,15,23,8,15,23,729,681,1406,11,6,18,0,7,8,734,692,1426,153,119,278,1677,1719,3400
POA6072,0,3,3,60,80,149,0,0,0,14,20,32,0,0,0,65,47,115,0,0,0,0,0,0,7,9,20,0,0,0,3,3,4,0,0,0,0,4,4,0,3,3,9,9,12,0,0,0,0,0,0,13,22,34,19,14,35,0,0,0,200,215,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,5,161,141,304,3,0,3,0,0,3,164,148,306,88,85,172,454,449,900
POA6073,12,24,32,299,379,681,0,0,0,33,36,69,17,18,33,228,263,495,9,15,20,3,5,9,20,13,33,0,4,4,4,4,9,0,0,0,9,9,13,13,13,20,22,25,44,0,3,3,3,5,9,29,55,87,62,69,133,3,4,8,760,915,1677,0,0,0,3,0,7,0,0,3,0,0,0,0,0,0,7,5,11,7,5,11,549,508,1053,13,8,13,0,5,4,556,514,1075,124,121,242,1466,1576,3041
POA6074,5,4,14,87,96,181,0,0,0,4,6,13,0,0,0,84,91,181,0,0,3,3,3,8,7,7,13,0,0,0,0,3,4,0,0,0,3,7,6,0,3,4,5,13,17,0,0,0,3,4,11,10,19,23,15,12,24,0,3,3,233,262,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,4,6,9,203,161,359,3,0,4,0,0,0,205,161,369,57,54,112,500,494,991
POA6076,75,114,194,1758,2073,3831,0,0,0,193,227,417,57,47,103,2554,2694,5240,60,70,134,51,51,99,29,30,61,14,18,36,51,44,98,0,0,0,45,53,98,42,49,91,221,260,478,13,17,30,128,158,290,312,396,710,390,438,826,34,37,72,5951,6666,12621,29,11,40,24,16,33,7,10,14,0,0,0,10,12,29,15,34,48,29,45,75,3666,3270,6934,43,24,64,5,21,33,3714,3312,7031,1007,933,1941,10837,11119,21948
POA6077,27,26,56,112,143,254,0,0,0,10,15,29,0,0,0,206,189,399,3,4,9,11,9,23,3,3,4,3,3,5,4,3,4,0,0,0,6,4,11,21,22,41,15,19,34,0,0,3,0,0,0,18,25,40,24,33,50,0,0,0,433,471,906,3,3,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,152,363,3,0,4,0,3,5,212,159,376,39,44,86,721,705,1428
POA6078,10,7,16,77,80,151,0,0,0,7,6,13,0,0,0,136,126,262,0,0,0,9,3,10,0,0,0,9,4,9,3,3,3,0,0,0,11,8,13,8,3,9,8,3,18,0,0,0,0,0,0,15,13,35,16,13,31,0,0,0,294,264,556,0,0,0,3,3,6,0,3,3,0,0,0,3,0,3,0,0,0,3,0,3,154,111,269,0,0,0,4,3,5,159,110,268,46,30,75,508,423,934
POA6079,0,0,0,4,4,12,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,5,0,7,3,0,3,18,11,30
POA6081,17,17,37,348,440,781,0,0,0,53,55,103,19,15,35,348,403,749,15,7,20,12,3,15,18,29,45,3,0,5,10,3,12,0,0,0,12,15,25,3,5,11,43,35,81,0,0,3,4,8,11,44,59,112,76,101,174,3,0,3,1003,1177,2179,8,3,9,0,3,3,0,0,0,0,0,0,0,0,0,9,13,28,9,13,28,1115,887,2001,9,3,14,3,3,9,1133,897,2025,263,214,473,2431,2321,4756
POA6082,19,35,55,284,295,579,0,0,0,42,45,87,0,0,0,225,207,438,16,18,33,9,7,12,5,12,14,0,0,0,3,9,15,0,0,0,10,5,18,0,3,3,16,16,35,3,0,3,3,0,4,30,32,55,47,60,106,3,3,5,694,716,1406,0,3,4,3,3,5,0,6,7,0,0,0,0,0,0,8,10,17,8,10,17,735,687,1425,3,4,7,3,8,9,738,696,1438,164,127,288,1630,1593,3221
POA6083,12,28,40,339,367,710,0,0,0,25,27,50,0,0,0,296,270,561,3,13,15,11,8,15,3,7,7,0,0,4,4,5,12,0,0,0,8,9,23,11,9,19,30,30,60,0,0,0,12,13,25,32,65,96,42,41,81,4,0,4,815,873,1683,3,0,5,11,10,15,0,0,0,0,0,0,0,0,0,5,9,15,5,9,15,717,611,1332,15,17,23,3,3,5,733,629,1363,206,182,392,1784,1729,3512
POA6084,22,34,58,815,912,1730,0,0,0,39,49,89,0,0,0,755,770,1522,3,7,16,9,3,13,3,9,17,3,7,6,18,11,36,0,0,0,21,23,47,33,37,73,61,64,122,6,13,22,3,11,14,84,106,187,125,146,272,0,4,4,1994,2176,4167,0,4,5,17,12,32,4,8,14,0,0,0,6,7,14,7,16,25,16,18,35,1523,1344,2867,16,19,32,3,3,4,1537,1366,2911,525,488,1016,4123,4114,8240
POA6090,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,6
POA6100,208,279,486,594,659,1252,0,0,0,60,71,132,0,3,6,1484,1579,3062,7,14,20,58,63,120,20,27,46,7,8,23,22,23,48,0,4,4,38,34,71,60,61,122,105,121,226,6,12,19,21,17,38,107,138,244,220,239,457,3,3,7,2806,3069,5879,357,304,657,273,238,518,12,4,16,0,0,0,66,53,123,28,30,61,97,90,181,2811,2298,5111,39,18,60,10,10,18,2862,2326,5186,815,754,1567,7426,7060,14480
POA6101,218,258,473,666,800,1469,0,0,0,58,79,145,0,0,0,1661,1803,3461,18,22,45,38,44,74,46,60,102,4,8,15,27,35,63,19,14,36,34,44,79,41,54,90,106,108,210,7,8,14,15,18,34,144,177,320,198,274,472,14,9,22,3089,3565,6650,202,164,368,403,314,713,4,0,4,3,5,3,81,60,137,20,40,59,97,98,198,3134,2792,5924,39,33,76,15,20,40,3194,2847,6047,1128,962,2088,8336,8214,16551
POA6102,447,455,906,421,691,1116,0,0,0,93,128,216,9,13,22,1139,1230,2371,8,20,27,21,27,52,24,23,52,11,11,23,9,18,26,14,17,37,55,86,142,53,63,120,141,133,268,4,14,20,22,22,45,113,200,314,212,274,491,5,0,7,2359,2971,5334,289,170,460,649,426,1078,9,6,15,0,0,4,123,66,189,32,39,74,161,102,269,2115,1708,3826,33,21,50,10,11,20,2159,1738,3900,839,885,1728,6924,6759,13688
POA6103,163,205,371,394,438,832,0,0,0,55,50,107,0,0,0,1091,1160,2244,8,12,18,30,28,64,16,12,24,8,7,6,11,13,24,3,7,7,34,35,72,28,39,63,83,68,149,12,13,20,8,14,23,76,82,156,135,162,297,6,3,11,1983,2142,4125,171,129,301,369,246,614,4,11,12,0,0,0,51,40,97,21,28,50,77,74,144,1697,1422,3111,21,8,33,9,8,17,1724,1439,3164,886,749,1636,5379,4988,10366
POA6104,197,254,447,719,891,1611,0,0,0,66,77,147,0,0,0,1734,1822,3558,13,19,32,49,48,94,21,25,45,23,17,41,15,24,39,7,4,4,37,48,86,54,80,131,90,112,211,13,25,41,19,26,43,110,133,242,218,261,480,10,21,31,3206,3624,6826,171,111,275,401,307,708,7,6,6,0,0,0,65,44,112,18,29,52,86,77,162,2209,1787,3996,25,16,41,10,7,18,2238,1816,4049,1006,846,1850,7294,7030,14321
POA6105,222,264,483,692,820,1509,0,0,0,87,95,180,0,0,0,1681,1800,3482,5,16,23,51,59,112,19,26,49,21,34,53,8,8,17,0,7,7,45,52,103,67,80,149,90,104,193,15,16,29,26,33,57,87,127,216,231,235,465,12,11,18,3136,3525,6657,217,168,385,774,649,1422,3,6,5,0,4,5,85,55,141,22,25,42,105,83,189,2190,1830,4019,17,12,24,5,10,14,2207,1853,4059,911,878,1792,7579,7417,14997
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,9,5,10,13,5,19
POA6107,913,1000,1916,1569,1818,3384,0,0,0,485,536,1023,20,23,38,4601,4763,9363,74,77,155,105,119,219,91,121,210,49,49,93,33,47,81,70,71,145,194,200,396,281,279,555,338,352,694,24,20,42,80,85,168,252,311,560,840,920,1759,54,40,94,9165,9829,18991,1212,989,2207,2157,1853,4010,0,4,7,3,0,4,709,515,1226,76,85,156,784,607,1385,6027,5118,11142,55,46,101,20,28,50,6103,5192,11293,2017,1779,3793,22345,21254,43605
POA6108,427,543,971,1323,1559,2879,0,0,0,213,239,456,3,0,4,2278,2467,4747,34,58,92,58,47,108,50,50,95,41,53,91,26,38,67,21,24,50,63,88,148,121,148,272,237,249,490,18,27,44,42,56,98,210,264,475,526,540,1069,34,40,70,5302,5935,11238,212,204,420,1019,892,1916,3,4,7,0,0,0,130,98,230,30,40,71,161,141,307,3497,3068,6560,31,18,47,21,20,43,3542,3104,6642,869,787,1654,11540,11614,23153
POA6109,152,166,315,652,727,1382,0,0,0,186,205,393,0,0,0,1231,1269,2499,7,12,19,24,25,47,26,31,56,29,21,52,13,15,28,20,9,27,49,47,104,81,105,184,84,102,188,9,14,27,45,38,85,71,100,165,208,214,420,15,18,32,2757,2951,5708,303,237,540,686,493,1186,3,0,3,0,0,0,113,95,199,28,39,63,137,133,263,1593,1314,2908,18,12,32,8,6,13,1618,1332,2951,628,525,1153,6277,5837,12122
POA6110,431,544,977,2482,2817,5298,3,0,0,471,556,1029,8,7,20,3670,3986,7658,51,47,100,52,54,104,66,88,151,69,84,152,55,59,113,40,45,91,162,176,335,342,347,691,367,422,788,51,69,118,82,99,176,279,427,706,788,898,1684,45,46,95,9084,10241,19323,735,656,1387,1571,1311,2882,7,3,8,7,10,20,228,205,433,60,116,178,291,333,625,6319,5520,11838,58,40,93,17,35,50,6393,5594,11986,1910,1749,3658,20422,20433,40858
POA6111,147,208,358,1820,2000,3819,0,0,0,242,281,520,27,31,58,1835,1966,3808,32,46,72,27,24,52,67,81,151,38,50,81,28,29,64,14,9,32,65,73,137,116,151,269,295,313,608,14,22,34,48,75,122,181,233,418,420,472,887,22,20,45,5312,5871,11181,153,125,279,185,168,357,10,15,22,4,3,3,36,39,71,40,73,118,86,113,200,4405,3902,8307,38,30,68,14,18,32,4457,3948,8403,1212,1059,2277,11552,11511,23068
POA6112,554,716,1269,3366,3907,7273,0,0,0,707,775,1483,77,80,157,4693,5135,9822,47,57,108,89,96,188,95,121,214,96,102,201,62,66,130,72,71,147,235,278,513,538,577,1111,851,973,1824,50,57,112,177,201,375,321,422,742,1383,1565,2949,58,50,114,12923,14535,27456,1120,1000,2120,604,608,1209,12,11,22,14,3,20,500,430,936,100,148,245,611,588,1196,9459,8486,17949,109,98,206,37,62,102,9607,8648,18254,2621,2401,5024,28059,28504,56554
POA6121,15,15,30,300,301,594,0,0,0,43,40,82,0,0,0,310,323,632,0,3,3,3,5,10,0,5,6,0,0,3,3,4,11,0,0,0,4,3,5,16,13,26,32,27,63,4,3,6,8,9,16,29,43,76,59,59,120,0,3,6,818,841,1656,5,0,5,13,8,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,546,483,1031,4,3,5,4,4,8,551,492,1042,122,97,217,1514,1450,2963
POA6122,76,108,178,1189,1428,2622,0,0,0,159,160,317,0,0,0,1354,1421,2779,10,13,16,17,21,35,29,41,73,44,43,90,22,21,38,0,0,4,58,59,125,117,124,244,294,311,602,12,13,26,36,54,85,116,128,247,405,430,833,10,12,20,3870,4292,8163,146,155,300,113,104,215,4,0,7,0,0,0,161,145,302,24,46,74,187,185,369,3451,3199,6654,30,26,58,11,18,37,3502,3242,6746,750,675,1428,8644,8770,17410
POA6123,5,11,19,134,154,286,0,0,0,18,12,29,0,0,0,97,93,192,0,3,3,7,3,8,3,5,8,0,0,0,0,3,5,0,0,0,0,8,16,5,8,11,36,41,77,0,3,5,3,4,5,19,10,32,32,33,60,0,0,0,359,380,734,5,5,10,0,0,0,0,0,0,0,0,0,0,3,5,3,8,8,3,13,19,325,277,601,0,0,0,0,0,0,320,278,606,104,64,173,798,754,1551
POA6124,3,0,6,124,127,253,0,0,0,8,4,16,0,0,0,95,100,189,0,0,0,4,5,5,0,0,0,0,0,0,4,9,8,0,0,0,0,3,3,3,3,3,29,27,56,0,0,0,0,0,6,12,10,21,31,34,64,0,0,0,307,326,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,203,198,399,0,0,0,3,0,3,204,198,408,68,70,143,586,606,1192
POA6125,7,11,17,349,401,748,0,0,0,21,34,50,0,0,0,231,193,423,5,11,18,3,5,9,6,4,16,5,3,5,9,3,12,0,0,0,9,13,20,0,0,3,65,66,127,0,4,9,0,3,4,41,62,101,51,56,107,3,3,8,800,849,1655,0,3,3,4,0,4,0,4,4,0,0,0,0,0,0,0,4,4,0,4,4,607,499,1104,5,0,9,0,0,0,610,497,1112,180,159,339,1602,1532,3135
POA6126,30,3,28,30,28,60,0,0,0,0,3,6,0,0,0,20,18,44,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,11,17,9,6,12,0,0,0,67,73,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,34,90,0,0,0,0,0,0,49,34,90,339,24,358,489,137,626
POA6147,522,560,1073,701,819,1527,0,0,0,152,143,297,13,16,31,1297,1396,2691,18,22,38,27,37,58,38,42,81,14,25,37,15,15,30,21,24,43,48,61,111,78,95,171,178,174,353,9,15,25,23,20,42,133,162,295,297,348,647,16,21,34,3069,3446,6508,278,211,486,547,512,1058,3,0,6,0,0,0,130,69,198,34,46,83,167,115,284,2469,2020,4487,17,23,38,8,12,22,2492,2055,4550,625,543,1166,7703,7435,15138
POA6148,442,518,957,1025,1243,2269,0,0,0,225,247,471,22,23,52,1600,1854,3453,20,21,44,41,53,93,23,30,52,6,8,16,44,44,83,20,14,35,79,78,163,90,113,196,235,247,482,8,9,14,26,51,71,201,269,465,337,390,733,11,14,24,4009,4703,8714,369,344,714,255,284,531,6,14,23,0,0,0,62,45,110,33,39,72,95,84,177,2734,2438,5173,34,31,62,10,15,28,2779,2490,5271,682,752,1434,8632,9185,17814
POA6149,357,407,766,1322,1528,2853,0,0,0,231,282,516,32,37,65,1772,1935,3709,13,21,32,41,54,96,14,19,36,9,16,23,27,34,68,5,8,9,70,86,154,105,147,258,324,331,658,10,10,23,6,10,20,253,330,588,324,414,738,4,7,10,4567,5272,9839,229,232,464,119,99,217,7,4,15,0,0,0,54,66,113,37,47,84,91,105,193,3054,2625,5685,27,19,39,7,8,17,3087,2652,5737,635,609,1235,9090,9385,18476
POA6150,292,407,702,707,866,1568,0,0,0,163,179,344,14,16,26,1663,1725,3393,14,15,24,35,35,64,4,8,11,3,3,5,15,18,28,15,9,16,60,57,116,65,61,127,235,242,473,5,4,10,7,6,13,175,230,408,208,277,489,7,9,11,3392,3751,7144,158,155,314,115,79,195,0,0,3,0,0,0,38,29,66,28,32,57,66,58,126,1801,1644,3442,15,8,27,7,10,10,1816,1661,3480,594,591,1189,6441,6707,13146
POA6151,164,217,380,961,1162,2126,0,0,0,78,93,167,3,13,18,1629,1860,3490,17,29,45,114,129,248,19,21,44,17,20,32,27,27,50,7,3,6,37,43,74,51,56,102,117,140,263,0,10,8,9,6,13,252,291,543,221,304,527,13,11,26,3576,4204,7779,157,135,294,154,159,318,30,24,53,0,0,0,23,15,39,44,48,92,65,69,130,3138,2535,5676,40,21,59,15,6,16,3186,2566,5757,973,893,1870,8305,8268,16576
POA6152,402,512,915,1241,1725,2968,0,0,0,152,197,350,12,6,15,2881,3200,6080,36,48,83,119,112,226,36,44,78,34,38,70,40,52,84,13,9,21,74,87,161,87,101,192,197,252,456,13,11,26,11,26,39,324,482,807,355,467,822,19,21,39,5637,6881,12520,223,192,417,431,410,844,17,16,24,0,3,3,37,33,73,60,75,140,100,114,211,4156,3737,7892,50,35,91,21,27,47,4229,3798,8028,1228,1278,2508,12273,13197,25463
POA6153,243,340,583,1281,1614,2886,0,0,0,189,242,428,4,4,11,2164,2521,4683,12,24,37,108,135,250,13,29,38,8,9,21,39,49,85,13,13,25,60,57,115,108,120,229,231,266,494,10,13,19,6,8,12,317,426,742,268,316,586,0,9,9,4821,5854,10681,167,149,315,128,155,280,23,18,42,0,0,0,25,31,54,78,90,165,109,114,223,3241,2825,6063,27,31,62,14,20,31,3278,2869,6150,816,786,1597,9579,10288,19865
POA6154,79,123,204,666,863,1531,0,0,0,109,116,218,7,10,15,1167,1344,2509,8,15,30,38,30,70,8,11,15,4,0,3,24,25,49,0,3,3,19,33,57,38,40,76,123,155,279,0,4,4,5,3,10,129,218,343,114,142,255,3,10,12,2461,3024,5480,39,31,62,51,64,112,7,7,14,0,0,0,19,9,26,29,24,49,45,40,79,1705,1458,3162,19,14,36,8,9,21,1731,1481,3214,416,448,862,4815,5213,10028
POA6155,1322,1605,2930,2486,2850,5331,0,0,0,437,532,968,75,55,133,4779,5230,10013,42,46,89,113,128,236,51,59,106,50,36,85,59,55,116,54,53,109,250,299,547,453,483,936,644,720,1363,21,34,53,60,66,124,527,612,1135,1047,1217,2265,74,84,154,11202,12559,23764,1419,1412,2833,1149,1123,2267,6,3,10,0,0,0,402,333,738,91,115,202,488,449,938,7449,6652,14102,62,38,102,19,37,51,7527,6731,14254,2659,1593,4247,25773,25470,51244
POA6156,96,146,239,1056,1412,2465,0,0,0,102,94,199,10,15,20,2221,2764,4987,16,16,34,74,80,151,19,27,44,7,9,18,22,25,51,0,0,0,31,28,60,49,63,111,126,162,284,3,6,15,7,18,25,148,229,382,155,202,357,12,8,14,4053,5159,9212,52,46,95,47,51,97,7,4,6,0,0,0,8,4,10,17,21,40,23,32,48,2995,2746,5735,24,24,41,18,20,41,3031,2788,5818,665,701,1374,7969,8930,16897
POA6157,51,115,166,867,1123,1987,0,0,0,48,88,135,0,0,0,1626,2024,3647,7,18,27,31,45,74,19,35,55,4,3,4,19,19,42,5,0,5,11,20,30,29,38,65,99,139,242,3,12,13,8,10,11,125,164,291,115,179,295,8,3,13,3036,3916,6951,22,21,39,30,22,55,10,6,13,3,0,3,3,3,8,21,20,40,27,23,52,2526,2365,4885,23,28,49,14,25,37,2560,2418,4976,640,626,1271,6376,7153,13525
