region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA6058,10,15,25,106,72,178,0,0,0,0,0,0,0,9,9,2221,1824,4045,166,144,310,96,3,99,40,6,46,23,3,26,55,13,68,52,66,118,2769,2155,4924,14,7,21,0,0,0,0,0,0,22,27,49,0,3,3,0,0,0,36,37,73,0,0,0,0,0,0,10,8,18,0,6,6,0,0,0,10,14,24,21,13,34,67,64,131,5,5,10,0,0,0,3,0,3,8,5,13,50,76,126,280,350,630,48,43,91,3222,2693,5915
POA6059,21,25,46,346,362,708,0,0,0,3,0,3,26,10,36,4032,3240,7272,263,369,632,83,3,86,56,9,65,86,20,106,73,14,87,60,53,113,5049,4105,9154,46,33,79,0,0,0,0,0,0,19,14,33,0,9,9,0,0,0,65,56,121,0,0,0,0,0,0,20,33,53,7,18,25,3,4,7,30,55,85,32,26,58,127,137,264,9,13,22,5,0,5,0,0,0,14,13,27,165,249,414,442,661,1103,89,74,163,5886,5239,11125
POA6060,73,93,166,420,551,971,3,3,6,0,0,0,28,16,44,4006,3331,7337,267,383,650,62,3,65,70,19,89,132,38,170,66,30,96,101,107,208,5228,4574,9802,85,68,153,0,0,0,0,0,0,31,29,60,10,21,31,6,3,9,132,121,253,0,0,0,0,0,0,15,22,37,13,27,40,9,6,15,37,55,92,44,13,57,213,189,402,20,27,47,4,4,8,0,3,3,24,34,58,133,157,290,417,604,1021,72,58,130,6087,5616,11703
POA6061,53,75,128,396,497,893,0,0,0,3,0,3,46,17,63,5281,3800,9081,426,577,1003,126,5,131,82,11,93,91,4,95,113,31,144,87,64,151,6704,5081,11785,83,87,170,0,0,0,0,0,0,36,58,94,0,6,6,0,0,0,119,151,270,0,0,0,0,0,0,27,42,69,9,37,46,7,0,7,43,79,122,62,28,90,224,258,482,36,27,63,5,0,5,3,0,3,44,27,71,111,139,250,590,732,1322,163,119,282,7836,6356,14192
POA6062,85,95,180,300,366,666,3,0,3,0,0,0,37,9,46,5809,4314,10123,448,542,990,146,3,149,55,9,64,96,15,111,114,29,143,118,134,252,7211,5516,12727,43,46,89,3,0,3,0,0,0,69,73,142,5,17,22,0,3,3,120,139,259,0,0,0,0,0,0,41,54,95,9,28,37,11,0,11,61,82,143,45,31,76,226,252,478,22,22,44,6,0,6,0,3,3,28,25,53,147,239,386,638,889,1527,138,113,251,8388,7034,15422
POA6063,36,45,81,80,87,167,4,0,4,0,0,0,11,3,14,2699,1957,4656,232,257,489,70,3,73,25,4,29,28,3,31,59,16,75,36,32,68,3280,2407,5687,40,39,79,0,0,0,0,0,0,45,36,81,6,3,9,0,0,0,91,78,169,0,0,0,0,0,0,5,13,18,4,5,9,7,0,7,16,18,34,27,10,37,134,106,240,21,14,35,3,0,3,0,0,0,24,14,38,39,83,122,273,343,616,85,63,148,3835,3016,6851
POA6064,80,118,198,164,185,349,0,0,0,0,0,0,36,8,44,5292,3937,9229,474,510,984,147,3,150,49,6,55,55,7,62,87,20,107,59,68,127,6443,4862,11305,54,59,113,0,0,0,0,0,0,76,96,172,14,16,30,3,0,3,147,171,318,0,0,0,0,0,0,16,26,42,4,9,13,3,3,6,23,38,61,42,20,62,212,229,441,32,38,70,5,0,5,4,3,7,41,41,82,100,166,266,588,830,1418,153,124,277,7537,6252,13789
POA6065,331,344,675,226,145,371,3,4,7,0,0,0,30,6,36,10017,7717,17734,751,770,1521,309,6,315,134,6,140,81,7,88,274,56,330,178,136,314,12334,9197,21531,198,160,358,0,0,0,0,0,0,271,273,544,36,64,100,14,3,17,519,500,1019,0,0,0,0,3,3,13,13,26,7,21,28,3,3,6,23,40,63,124,47,171,666,587,1253,79,91,170,3,0,3,3,3,6,85,94,179,228,543,771,1158,1726,2884,172,164,336,14643,12311,26954
POA6066,19,19,38,179,197,376,0,0,0,0,0,0,12,7,19,3706,2953,6659,293,343,636,92,3,95,46,5,51,46,3,49,67,16,83,46,57,103,4506,3603,8109,11,32,43,0,0,0,0,0,0,21,23,44,0,11,11,4,0,4,36,66,102,0,0,0,0,0,0,14,29,43,6,21,27,0,0,0,20,50,70,47,22,69,103,138,241,4,10,14,3,4,7,0,0,0,7,14,21,79,127,206,398,580,978,103,77,180,5196,4539,9735
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6069,28,45,73,151,53,204,3,4,7,0,0,0,5,7,12,4787,3815,8602,364,367,731,92,3,95,46,4,50,38,6,44,137,22,159,93,113,206,5744,4439,10183,54,57,111,0,0,0,0,0,0,116,102,218,7,21,28,3,0,3,180,180,360,0,0,0,0,0,0,17,15,32,8,5,13,3,0,3,28,20,48,74,21,95,282,221,503,20,26,46,5,3,8,3,0,3,28,29,57,148,290,438,559,826,1385,89,52,141,6850,5857,12707
POA6070,18,8,26,13,5,18,0,0,0,0,0,0,0,0,0,623,538,1161,38,37,75,17,0,17,8,0,8,5,3,8,15,3,18,5,8,13,742,602,1344,12,4,16,0,0,0,0,0,0,32,20,52,3,7,10,0,0,0,47,31,78,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,3,6,10,7,17,60,41,101,4,4,8,0,0,0,0,0,0,4,4,8,53,69,122,86,141,227,9,12,21,954,869,1823
POA6071,11,11,22,11,10,21,0,0,0,0,0,0,4,0,4,614,523,1137,29,32,61,16,0,16,17,0,17,4,0,4,14,3,17,15,15,30,735,594,1329,7,3,10,0,0,0,0,0,0,24,23,47,0,5,5,0,0,0,31,31,62,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,5,3,8,11,0,11,47,34,81,5,8,13,0,0,0,0,0,0,5,8,13,43,56,99,92,137,229,9,12,21,931,841,1772
POA6072,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,150,127,277,6,11,17,3,0,3,0,0,0,3,0,3,6,0,6,6,0,6,177,141,318,0,4,4,0,0,0,0,0,0,8,6,14,0,0,0,0,0,0,8,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,12,10,22,3,0,3,0,0,0,0,0,0,3,0,3,8,11,19,20,35,55,3,0,3,223,197,420
POA6073,3,3,6,16,5,21,0,0,0,0,0,0,0,0,0,478,399,877,34,31,65,22,0,22,10,3,13,4,0,4,18,3,21,20,24,44,605,468,1073,3,4,7,0,0,0,0,0,0,18,12,30,0,0,0,0,0,0,21,16,37,0,0,0,0,0,0,0,5,5,3,3,6,0,0,0,3,8,11,4,0,4,28,24,52,5,0,5,0,0,0,0,0,0,5,0,5,41,48,89,79,108,187,13,9,22,771,657,1428
POA6074,0,0,0,8,5,13,0,0,0,0,0,0,0,0,0,165,154,319,11,10,21,15,0,15,3,0,3,0,0,0,3,0,3,0,3,3,205,172,377,3,0,3,0,0,0,0,0,0,3,3,6,0,0,0,3,0,3,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,6,15,6,21,0,4,4,0,0,0,0,0,0,0,4,4,14,25,39,26,27,53,4,0,4,264,234,498
POA6076,22,19,41,180,114,294,0,0,0,0,0,0,14,4,18,3761,3172,6933,216,247,463,120,4,124,53,3,56,38,5,43,93,20,113,114,106,220,4611,3694,8305,18,17,35,0,0,0,0,0,0,53,31,84,3,10,13,0,0,0,74,58,132,0,0,0,0,0,0,19,19,38,9,15,24,5,0,5,33,34,67,27,16,43,134,108,242,9,7,16,3,6,9,6,3,9,18,16,34,260,371,631,495,713,1208,53,50,103,5571,4952,10523
POA6077,3,3,6,3,3,6,0,0,0,0,0,0,0,0,0,256,208,464,6,13,19,39,0,39,3,0,3,0,0,0,0,5,5,12,8,20,322,240,562,0,0,0,0,0,0,0,0,0,3,10,13,3,0,3,0,0,0,6,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,3,0,3,0,0,0,0,0,0,3,0,3,38,51,89,27,46,73,7,4,11,403,351,754
POA6078,3,3,6,0,3,3,0,0,0,0,0,0,0,0,0,143,129,272,13,9,22,23,3,26,0,0,0,0,0,0,0,0,0,9,8,17,191,155,346,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,3,0,3,0,0,0,0,0,0,3,0,3,21,33,54,29,20,49,7,4,11,255,215,470
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
POA6081,4,12,16,25,10,35,0,0,0,0,0,0,0,0,0,855,726,1581,57,57,114,44,0,44,11,3,14,0,3,3,24,3,27,19,9,28,1039,823,1862,12,0,12,0,0,0,0,0,0,27,30,57,3,3,6,0,0,0,42,33,75,0,0,0,0,0,0,3,3,6,3,3,6,3,0,3,9,6,15,8,0,8,59,39,98,5,9,14,0,0,0,0,0,0,5,9,14,39,77,116,148,151,299,21,12,33,1311,1111,2422
POA6082,0,4,4,26,7,33,0,0,0,0,0,0,0,0,0,534,446,980,54,37,91,31,0,31,7,0,7,3,0,3,8,0,8,14,15,29,677,509,1186,0,4,4,0,0,0,0,0,0,18,14,32,0,0,0,3,0,3,21,18,39,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,7,0,7,31,18,49,6,0,6,0,0,0,0,0,0,6,0,6,32,41,73,96,123,219,7,15,22,849,706,1555
POA6083,5,4,9,13,0,13,0,0,0,0,0,0,0,3,3,585,471,1056,50,41,91,46,0,46,4,0,4,0,0,0,22,7,29,17,7,24,742,533,1275,3,0,3,0,0,0,0,0,0,18,18,36,3,3,6,0,0,0,24,21,45,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,9,4,13,36,25,61,0,6,6,0,0,0,0,0,0,0,6,6,63,100,163,109,130,239,28,15,43,978,809,1787
POA6084,4,3,7,18,11,29,0,0,0,0,0,0,0,0,0,1097,940,2037,87,84,171,69,3,72,20,3,23,7,0,7,25,6,31,37,34,71,1364,1084,2448,0,0,0,0,0,0,0,0,0,30,18,48,0,8,8,0,0,0,30,26,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,17,44,29,73,6,5,11,0,0,0,0,0,0,6,5,11,77,111,188,181,221,402,27,19,46,1699,1469,3168
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
POA6100,153,117,270,446,492,938,3,5,8,4,0,4,16,11,27,2448,1686,4134,186,231,417,36,0,36,47,10,57,136,36,172,71,18,89,150,108,258,3696,2714,6410,64,58,122,0,0,0,0,0,0,6,9,15,3,5,8,10,5,15,83,77,160,0,0,0,0,0,0,12,12,24,12,22,34,8,9,17,32,43,75,26,11,37,141,131,272,23,17,40,3,6,9,0,0,0,26,23,49,111,108,219,304,418,722,50,42,92,4328,3436,7764
POA6101,221,189,410,356,401,757,0,0,0,0,0,0,16,3,19,2495,1924,4419,165,213,378,37,6,43,48,11,59,145,31,176,79,18,97,108,115,223,3670,2911,6581,50,76,126,0,0,0,0,0,0,21,12,33,7,9,16,7,3,10,85,100,185,0,0,0,0,0,0,16,15,31,8,12,20,10,6,16,34,33,67,36,10,46,155,143,298,16,21,37,5,0,5,3,0,3,24,21,45,76,96,172,355,461,816,43,37,80,4323,3669,7992
POA6102,51,44,95,321,327,648,3,0,3,0,0,0,9,4,13,1773,1184,2957,129,190,319,20,0,20,29,0,29,63,15,78,35,10,45,75,82,157,2508,1856,4364,63,57,120,0,0,0,0,0,0,22,11,33,0,7,7,3,0,3,88,75,163,0,0,0,0,0,0,17,17,34,9,14,23,0,4,4,26,35,61,26,11,37,140,121,261,16,20,36,3,0,3,0,0,0,19,20,39,42,68,110,288,354,642,45,38,83,3042,2457,5499
POA6103,23,22,45,213,203,416,3,0,3,0,0,0,20,4,24,1468,1046,2514,108,125,233,23,3,26,29,3,32,79,15,94,58,10,68,66,43,109,2090,1474,3564,29,35,64,0,0,0,0,0,0,12,18,30,0,4,4,0,0,0,41,57,98,0,0,0,0,0,0,12,4,16,8,12,20,0,4,4,20,20,40,20,4,24,81,81,162,7,4,11,5,0,5,3,0,3,15,4,19,40,58,98,205,239,444,34,15,49,2465,1871,4336
POA6104,21,24,45,208,238,446,0,0,0,0,0,0,13,3,16,2310,1799,4109,208,198,406,59,3,62,32,7,39,86,13,99,74,16,90,83,65,148,3094,2366,5460,32,20,52,0,0,0,0,0,0,27,29,56,0,4,4,0,0,0,59,53,112,0,0,0,0,0,0,10,16,26,7,13,20,8,9,17,25,38,63,18,13,31,102,104,206,10,12,22,0,0,0,0,0,0,10,12,22,79,102,181,299,374,673,55,35,90,3639,2993,6632
POA6105,29,37,66,193,213,406,0,0,0,5,0,5,16,5,21,2304,1618,3922,195,201,396,56,0,56,30,6,36,77,16,93,69,13,82,67,70,137,3041,2179,5220,37,38,75,0,0,0,0,0,0,19,29,48,3,6,9,3,3,6,62,76,138,0,0,0,0,0,0,3,11,14,3,10,13,6,0,6,12,21,33,51,8,59,125,105,230,14,12,26,4,0,4,3,3,6,21,15,36,35,80,115,287,371,658,55,36,91,3564,2786,6350
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,10,3,13
POA6107,459,485,944,307,260,567,3,0,3,0,3,3,45,9,54,6561,4457,11018,527,594,1121,223,5,228,91,12,103,157,32,189,158,34,192,151,134,285,8682,6025,14707,134,165,299,0,0,0,0,0,0,86,110,196,17,43,60,13,5,18,250,323,573,0,0,0,0,0,0,22,32,54,7,19,26,9,3,12,38,54,92,75,27,102,363,404,767,46,78,124,4,4,8,3,0,3,53,82,135,151,267,418,729,971,1700,165,108,273,10143,7857,18000
POA6108,162,207,369,131,125,256,0,0,0,0,0,0,16,3,19,4273,3227,7500,351,346,697,110,3,113,46,3,49,62,11,73,109,22,131,55,56,111,5315,4003,9318,99,108,207,0,0,0,0,0,0,63,74,137,11,17,28,12,4,16,185,203,388,3,0,3,0,0,0,9,10,19,7,9,16,0,0,0,19,19,38,44,20,64,248,242,490,28,39,67,6,0,6,0,0,0,34,39,73,97,165,262,523,666,1189,82,79,161,6299,5194,11493
POA6109,67,97,164,61,26,87,0,0,0,0,0,0,11,3,14,1791,1189,2980,172,139,311,58,0,58,21,3,24,28,8,36,44,12,56,41,42,83,2294,1519,3813,22,48,70,0,0,0,0,0,0,16,21,37,0,8,8,3,0,3,41,77,118,0,0,0,0,0,0,0,3,3,0,3,3,3,3,6,3,9,12,21,7,28,65,93,158,17,13,30,0,0,0,3,0,3,20,13,33,47,67,114,214,229,443,38,28,66,2678,1949,4627
POA6110,243,261,504,159,130,289,3,0,3,3,0,3,26,3,29,6090,4724,10814,516,451,967,189,3,192,93,10,103,68,13,81,142,42,184,89,104,193,7621,5741,13362,140,134,274,0,0,0,0,0,0,92,107,199,21,28,49,12,3,15,265,272,537,0,0,0,0,0,0,10,7,17,5,14,19,7,0,7,22,21,43,60,32,92,347,325,672,57,44,101,4,0,4,0,0,0,61,44,105,137,242,379,743,999,1742,142,99,241,9051,7450,16501
POA6111,200,217,417,91,19,110,0,0,0,0,0,0,9,7,16,3775,2985,6760,329,239,568,164,3,167,61,9,70,36,4,40,101,31,132,89,89,178,4855,3603,8458,57,47,104,0,0,0,0,0,0,67,62,129,19,28,47,10,3,13,153,140,293,0,0,0,0,0,0,0,8,8,0,0,0,4,0,4,4,8,12,42,29,71,199,177,376,27,31,58,3,3,6,0,3,3,30,37,67,177,273,450,535,693,1228,95,62,157,5891,4845,10736
POA6112,311,285,596,169,98,267,3,0,3,0,3,3,14,4,18,7083,5395,12478,555,583,1138,243,10,253,100,6,106,54,3,57,186,41,227,122,140,262,8840,6568,15408,148,125,273,0,0,0,0,0,0,113,130,243,23,38,61,14,4,18,298,297,595,3,0,3,0,0,0,9,3,12,8,9,17,4,3,7,24,15,39,72,17,89,394,329,723,57,64,121,3,3,6,6,0,6,66,67,133,163,307,470,863,1117,1980,184,120,304,10510,8508,19018
POA6121,14,12,26,11,0,11,0,0,0,0,0,0,0,0,0,464,422,886,33,36,69,55,0,55,3,4,7,4,3,7,13,7,20,19,13,32,616,497,1113,0,0,0,0,0,0,0,0,0,11,9,20,3,3,6,0,0,0,14,12,26,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,9,0,9,23,16,39,3,5,8,0,0,0,0,0,0,3,5,8,43,73,116,68,74,142,16,9,25,769,674,1443
POA6122,19,43,62,50,12,62,0,0,0,3,0,3,0,3,3,1760,1405,3165,128,106,234,91,5,96,11,3,14,9,0,9,53,6,59,33,31,64,2157,1614,3771,7,11,18,0,0,0,0,0,0,30,34,64,0,3,3,0,0,0,37,48,85,0,0,0,0,0,0,3,0,3,0,3,3,4,0,4,7,3,10,26,6,32,70,57,127,6,13,19,4,0,4,0,0,0,10,13,23,53,116,169,277,313,590,45,14,59,2612,2127,4739
POA6123,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,237,209,446,21,18,39,25,0,25,4,0,4,0,0,0,8,0,8,9,6,15,312,233,545,0,0,0,0,0,0,0,0,0,0,12,12,0,3,3,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,15,19,0,0,0,0,0,0,0,0,0,0,0,0,8,28,36,45,43,88,9,7,16,378,326,704
POA6124,4,0,4,7,4,11,0,0,0,0,0,0,4,0,4,165,147,312,20,4,24,8,0,8,0,0,0,0,0,0,9,0,9,12,8,20,229,163,392,0,0,0,0,0,0,0,0,0,0,8,8,3,0,3,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,11,14,3,0,3,0,0,0,0,0,0,3,0,3,13,10,23,28,36,64,8,3,11,284,223,507
POA6125,5,3,8,14,3,17,0,0,0,0,0,0,0,0,0,446,324,770,28,26,54,34,0,34,9,0,9,3,3,6,16,9,25,34,25,59,589,393,982,0,0,0,0,0,0,0,0,0,9,6,15,0,0,0,0,0,0,9,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,13,9,22,0,7,7,0,0,0,0,0,0,0,7,7,56,80,136,64,84,148,10,10,20,732,583,1315
POA6126,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,26,34,60,3,0,3,8,0,8,3,0,3,0,0,0,0,0,0,3,4,7,46,41,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,26,5,9,14,0,0,0,63,64,127
POA6147,52,77,129,122,117,239,0,0,0,0,0,0,6,3,9,2740,2033,4773,201,220,421,57,0,57,26,3,29,62,10,72,40,16,56,32,43,75,3338,2522,5860,122,113,235,0,0,0,0,0,0,59,51,110,3,12,15,0,0,0,184,176,360,0,0,0,0,0,0,6,9,15,6,19,25,3,3,6,15,31,46,34,11,45,233,218,451,23,33,56,5,3,8,3,0,3,31,36,67,51,88,139,333,400,733,68,36,104,4054,3300,7354
POA6148,93,78,171,107,85,192,0,0,0,0,0,0,9,0,9,2989,2348,5337,174,245,419,41,3,44,45,5,50,103,26,129,43,18,61,57,50,107,3661,2858,6519,160,125,285,0,0,0,0,0,0,59,56,115,9,15,24,5,0,5,233,196,429,0,0,0,0,0,0,5,18,23,4,10,14,6,0,6,15,28,43,26,16,42,274,240,514,27,37,64,0,0,0,0,0,0,27,37,64,148,183,331,371,532,903,61,46,107,4542,3896,8438
POA6149,209,205,414,80,70,150,3,0,3,0,3,3,8,7,15,3411,2883,6294,199,237,436,47,5,52,41,4,45,108,12,120,53,14,67,56,73,129,4215,3513,7728,220,165,385,0,0,0,0,0,0,77,50,127,16,27,43,10,3,13,323,245,568,3,0,3,0,0,0,4,4,8,3,12,15,3,0,3,13,16,29,38,18,56,374,279,653,30,41,71,3,0,3,0,3,3,33,44,77,167,228,395,495,680,1175,71,60,131,5355,4804,10159
POA6150,162,129,291,66,88,154,3,0,3,4,0,4,10,3,13,2183,1751,3934,127,214,341,21,0,21,15,0,15,52,12,64,38,8,46,61,54,115,2742,2259,5001,174,105,279,0,0,0,0,0,0,36,27,63,12,11,23,4,0,4,226,143,369,0,0,0,0,0,0,3,8,11,5,6,11,0,0,0,8,14,22,16,9,25,250,166,416,15,21,36,3,3,6,0,0,0,18,24,42,132,140,272,327,462,789,30,41,71,3499,3092,6591
POA6151,16,11,27,484,453,937,34,21,55,0,3,3,12,21,33,2850,2131,4981,192,256,448,29,0,29,40,10,50,186,60,246,64,20,84,148,136,284,4055,3122,7177,31,40,71,3,3,6,0,0,0,10,3,13,0,3,3,3,0,3,47,49,96,3,6,9,0,0,0,12,26,38,13,24,37,14,0,14,42,56,98,39,20,59,128,125,253,10,8,18,3,5,8,3,0,3,16,13,29,187,214,401,359,560,919,54,27,81,4799,4061,8860
POA6152,132,126,258,451,541,992,0,4,4,0,0,0,30,4,34,4005,3378,7383,236,371,607,37,3,40,63,5,68,194,64,258,80,23,103,144,136,280,5372,4655,10027,119,105,224,0,0,0,0,0,0,23,23,46,4,6,10,12,3,15,158,137,295,3,3,6,0,3,3,25,21,46,10,14,24,8,3,11,46,44,90,42,23,65,246,204,450,21,23,44,3,7,10,5,0,5,29,30,59,201,271,472,537,791,1328,61,74,135,6446,6025,12471
POA6153,113,91,204,383,324,707,3,0,3,0,0,0,16,8,24,3098,2640,5738,174,234,408,28,0,28,23,0,23,135,27,162,57,21,78,105,82,187,4135,3427,7562,77,64,141,0,0,0,0,0,0,18,20,38,3,9,12,4,3,7,102,96,198,0,0,0,0,0,0,9,10,19,3,18,21,7,0,7,19,28,47,39,14,53,160,138,298,19,14,33,0,6,6,3,0,3,22,20,42,238,327,565,368,596,964,56,41,97,4979,4549,9528
POA6154,29,23,52,159,119,278,0,0,0,0,0,0,0,6,6,1473,1296,2769,89,114,203,26,0,26,28,4,32,68,9,77,39,15,54,59,48,107,1970,1634,3604,61,39,100,0,0,0,0,0,0,5,12,17,0,6,6,6,0,6,72,57,129,3,0,3,0,0,0,3,5,8,0,10,10,0,0,0,6,15,21,19,8,27,97,80,177,11,10,21,3,0,3,3,3,6,17,13,30,83,123,206,188,332,520,28,20,48,2383,2202,4585
POA6155,224,218,442,229,224,453,3,0,3,5,0,5,27,7,34,9108,7138,16246,520,778,1298,126,6,132,83,12,95,148,26,174,188,39,227,172,168,340,10833,8616,19449,644,444,1088,0,0,0,0,0,0,202,188,390,33,53,86,5,3,8,884,688,1572,0,0,0,4,0,4,20,23,43,20,24,44,6,0,6,50,47,97,94,45,139,1028,780,1808,124,163,287,3,4,7,3,3,6,130,170,300,325,425,750,1040,1519,2559,156,148,304,13512,11658,25170
